coordinates,favorited,user,favorite_count,contributors,in_reply_to_user_id,truncated,lang,text,in_reply_to_status_id,id_str,geo,in_reply_to_screen_name,retweet_count,is_quote_status,in_reply_to_user_id_str,created_at,id,retweeted,possibly_sensitive,entities,in_reply_to_status_id_str,place,source
,False,"{'profile_banner_url': 'https://pbs.twimg.com/profile_banners/574504370/1436107462', 'profile_background_tile': False, 'screen_name': 'Arul_DAPNS', 'profile_image_url_https': 'https://pbs.twimg.com/profile_images/617705260023283712/aaqhSqWL_normal.jpg', 'following': None, 'profile_use_background_image': True, 'translator_type': 'none', 'created_at': 'Tue May 08 14:10:18 +0000 2012', 'lang': 'en', 'default_profile_image': False, 'is_translation_enabled': False, 'id_str': '574504370', 'is_translator': False, 'has_extended_profile': False, 'url': None, 'profile_background_color': 'DBE9ED', 'profile_link_color': 'CC3366', 'time_zone': 'Kuala Lumpur', 'notifications': None, 'friends_count': 882, 'utc_offset': 28800, 'verified': False, 'profile_background_image_url_https': 'https://abs.twimg.com/images/themes/theme17/bg.gif', 'profile_text_color': '333333', 'description': 'DAP NS Organising Secretary &\nState Assemblymen for Nilai', 'favourites_count': 73, 'follow_request_sent': None, 'id': 574504370, 'default_profile': False, 'statuses_count': 4253, 'profile_image_url': 'http://pbs.twimg.com/profile_images/617705260023283712/aaqhSqWL_normal.jpg', 'protected': False, 'entities': {'description': {'urls': []}}, 'contributors_enabled': False, 'profile_sidebar_border_color': 'DBE9ED', 'listed_count': 9, 'profile_background_image_url': 'http://abs.twimg.com/images/themes/theme17/bg.gif', 'followers_count': 646, 'geo_enabled': True, 'location': 'NEGERI SEMBILAN', 'profile_sidebar_fill_color': 'E6F6F9', 'name': 'J. Arul Kumar'}",0,,,False,en,Lim Kit Siang has urged Prime Minister Najib Abdul Razak to confirm or deny if he had three other Ambank accounts... https://t.co/WfY8B8iwEu,,872752174509457408,,,0,False,,Thu Jun 08 09:48:28 +0000 2017,872752174509457408,False,False,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/WfY8B8iwEu', 'indices': [117, 140], 'display_url': 'fb.me/ETHkSGQy', 'expanded_url': 'http://fb.me/ETHkSGQy'}]}",,,"<a href=""http://www.facebook.com/twitter"" rel=""nofollow"">Facebook</a>"
,False,"{'profile_banner_url': 'https://pbs.twimg.com/profile_banners/574504370/1436107462', 'profile_background_tile': False, 'screen_name': 'Arul_DAPNS', 'profile_image_url_https': 'https://pbs.twimg.com/profile_images/617705260023283712/aaqhSqWL_normal.jpg', 'following': None, 'profile_use_background_image': True, 'translator_type': 'none', 'created_at': 'Tue May 08 14:10:18 +0000 2012', 'lang': 'en', 'default_profile_image': False, 'is_translation_enabled': False, 'id_str': '574504370', 'is_translator': False, 'has_extended_profile': False, 'url': None, 'profile_background_color': 'DBE9ED', 'profile_link_color': 'CC3366', 'time_zone': 'Kuala Lumpur', 'notifications': None, 'friends_count': 882, 'utc_offset': 28800, 'verified': False, 'profile_background_image_url_https': 'https://abs.twimg.com/images/themes/theme17/bg.gif', 'profile_text_color': '333333', 'description': 'DAP NS Organising Secretary &\nState Assemblymen for Nilai', 'favourites_count': 73, 'follow_request_sent': None, 'id': 574504370, 'default_profile': False, 'statuses_count': 4253, 'profile_image_url': 'http://pbs.twimg.com/profile_images/617705260023283712/aaqhSqWL_normal.jpg', 'protected': False, 'entities': {'description': {'urls': []}}, 'contributors_enabled': False, 'profile_sidebar_border_color': 'DBE9ED', 'listed_count': 9, 'profile_background_image_url': 'http://abs.twimg.com/images/themes/theme17/bg.gif', 'followers_count': 646, 'geo_enabled': True, 'location': 'NEGERI SEMBILAN', 'profile_sidebar_fill_color': 'E6F6F9', 'name': 'J. Arul Kumar'}",1,,,False,en,"Pooodaaa!

The Malaysian Indian Blueprint which was launched in April will only be fully realised and achieve its... https://t.co/fiLF1fJFsd",,872652856859533313,,,0,False,,Thu Jun 08 03:13:48 +0000 2017,872652856859533313,False,False,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/fiLF1fJFsd', 'indices': [117, 140], 'display_url': 'fb.me/1lLJOpF46', 'expanded_url': 'http://fb.me/1lLJOpF46'}]}",,,"<a href=""http://www.facebook.com/twitter"" rel=""nofollow"">Facebook</a>"
,False,"{'profile_banner_url': 'https://pbs.twimg.com/profile_banners/574504370/1436107462', 'profile_background_tile': False, 'screen_name': 'Arul_DAPNS', 'profile_image_url_https': 'https://pbs.twimg.com/profile_images/617705260023283712/aaqhSqWL_normal.jpg', 'following': None, 'profile_use_background_image': True, 'translator_type': 'none', 'created_at': 'Tue May 08 14:10:18 +0000 2012', 'lang': 'en', 'default_profile_image': False, 'is_translation_enabled': False, 'id_str': '574504370', 'is_translator': False, 'has_extended_profile': False, 'url': None, 'profile_background_color': 'DBE9ED', 'profile_link_color': 'CC3366', 'time_zone': 'Kuala Lumpur', 'notifications': None, 'friends_count': 882, 'utc_offset': 28800, 'verified': False, 'profile_background_image_url_https': 'https://abs.twimg.com/images/themes/theme17/bg.gif', 'profile_text_color': '333333', 'description': 'DAP NS Organising Secretary &\nState Assemblymen for Nilai', 'favourites_count': 73, 'follow_request_sent': None, 'id': 574504370, 'default_profile': False, 'statuses_count': 4253, 'profile_image_url': 'http://pbs.twimg.com/profile_images/617705260023283712/aaqhSqWL_normal.jpg', 'protected': False, 'entities': {'description': {'urls': []}}, 'contributors_enabled': False, 'profile_sidebar_border_color': 'DBE9ED', 'listed_count': 9, 'profile_background_image_url': 'http://abs.twimg.com/images/themes/theme17/bg.gif', 'followers_count': 646, 'geo_enabled': True, 'location': 'NEGERI SEMBILAN', 'profile_sidebar_fill_color': 'E6F6F9', 'name': 'J. Arul Kumar'}",1,,,False,en,Government desperately need more money. Pay tax of rm5 if you stay at cheap hotel or rm20 if you stay in an... https://t.co/C85xw2weKx,,872141929558835200,,,0,False,,Tue Jun 06 17:23:34 +0000 2017,872141929558835200,False,False,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/C85xw2weKx', 'indices': [111, 134], 'display_url': 'fb.me/ZNB9cA2S', 'expanded_url': 'http://fb.me/ZNB9cA2S'}]}",,,"<a href=""http://www.facebook.com/twitter"" rel=""nofollow"">Facebook</a>"
,False,"{'profile_banner_url': 'https://pbs.twimg.com/profile_banners/574504370/1436107462', 'profile_background_tile': False, 'screen_name': 'Arul_DAPNS', 'profile_image_url_https': 'https://pbs.twimg.com/profile_images/617705260023283712/aaqhSqWL_normal.jpg', 'following': None, 'profile_use_background_image': True, 'translator_type': 'none', 'created_at': 'Tue May 08 14:10:18 +0000 2012', 'lang': 'en', 'default_profile_image': False, 'is_translation_enabled': False, 'id_str': '574504370', 'is_translator': False, 'has_extended_profile': False, 'url': None, 'profile_background_color': 'DBE9ED', 'profile_link_color': 'CC3366', 'time_zone': 'Kuala Lumpur', 'notifications': None, 'friends_count': 882, 'utc_offset': 28800, 'verified': False, 'profile_background_image_url_https': 'https://abs.twimg.com/images/themes/theme17/bg.gif', 'profile_text_color': '333333', 'description': 'DAP NS Organising Secretary &\nState Assemblymen for Nilai', 'favourites_count': 73, 'follow_request_sent': None, 'id': 574504370, 'default_profile': False, 'statuses_count': 4253, 'profile_image_url': 'http://pbs.twimg.com/profile_images/617705260023283712/aaqhSqWL_normal.jpg', 'protected': False, 'entities': {'description': {'urls': []}}, 'contributors_enabled': False, 'profile_sidebar_border_color': 'DBE9ED', 'listed_count': 9, 'profile_background_image_url': 'http://abs.twimg.com/images/themes/theme17/bg.gif', 'followers_count': 646, 'geo_enabled': True, 'location': 'NEGERI SEMBILAN', 'profile_sidebar_fill_color': 'E6F6F9', 'name': 'J. Arul Kumar'}",0,,,False,und,https://t.co/Qi6BbSh6G7,,872009282820210688,,,0,False,,Tue Jun 06 08:36:28 +0000 2017,872009282820210688,False,False,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/Qi6BbSh6G7', 'indices': [0, 23], 'display_url': 'fb.me/13cmyLtED', 'expanded_url': 'http://fb.me/13cmyLtED'}]}",,,"<a href=""http://www.facebook.com/twitter"" rel=""nofollow"">Facebook</a>"
,False,"{'profile_banner_url': 'https://pbs.twimg.com/profile_banners/574504370/1436107462', 'profile_background_tile': False, 'screen_name': 'Arul_DAPNS', 'profile_image_url_https': 'https://pbs.twimg.com/profile_images/617705260023283712/aaqhSqWL_normal.jpg', 'following': None, 'profile_use_background_image': True, 'translator_type': 'none', 'created_at': 'Tue May 08 14:10:18 +0000 2012', 'lang': 'en', 'default_profile_image': False, 'is_translation_enabled': False, 'id_str': '574504370', 'is_translator': False, 'has_extended_profile': False, 'url': None, 'profile_background_color': 'DBE9ED', 'profile_link_color': 'CC3366', 'time_zone': 'Kuala Lumpur', 'notifications': None, 'friends_count': 882, 'utc_offset': 28800, 'verified': False, 'profile_background_image_url_https': 'https://abs.twimg.com/images/themes/theme17/bg.gif', 'profile_text_color': '333333', 'description': 'DAP NS Organising Secretary &\nState Assemblymen for Nilai', 'favourites_count': 73, 'follow_request_sent': None, 'id': 574504370, 'default_profile': False, 'statuses_count': 4253, 'profile_image_url': 'http://pbs.twimg.com/profile_images/617705260023283712/aaqhSqWL_normal.jpg', 'protected': False, 'entities': {'description': {'urls': []}}, 'contributors_enabled': False, 'profile_sidebar_border_color': 'DBE9ED', 'listed_count': 9, 'profile_background_image_url': 'http://abs.twimg.com/images/themes/theme17/bg.gif', 'followers_count': 646, 'geo_enabled': True, 'location': 'NEGERI SEMBILAN', 'profile_sidebar_fill_color': 'E6F6F9', 'name': 'J. Arul Kumar'}",0,,,False,und,https://t.co/0VgHTQfcZM,,871422869401608192,,,0,False,,Sun Jun 04 17:46:16 +0000 2017,871422869401608192,False,False,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/0VgHTQfcZM', 'indices': [0, 23], 'display_url': 'fb.me/CldF6oFj', 'expanded_url': 'http://fb.me/CldF6oFj'}]}",,,"<a href=""http://www.facebook.com/twitter"" rel=""nofollow"">Facebook</a>"
,False,"{'profile_banner_url': 'https://pbs.twimg.com/profile_banners/574504370/1436107462', 'profile_background_tile': False, 'screen_name': 'Arul_DAPNS', 'profile_image_url_https': 'https://pbs.twimg.com/profile_images/617705260023283712/aaqhSqWL_normal.jpg', 'following': None, 'profile_use_background_image': True, 'translator_type': 'none', 'created_at': 'Tue May 08 14:10:18 +0000 2012', 'lang': 'en', 'default_profile_image': False, 'is_translation_enabled': False, 'id_str': '574504370', 'is_translator': False, 'has_extended_profile': False, 'url': None, 'profile_background_color': 'DBE9ED', 'profile_link_color': 'CC3366', 'time_zone': 'Kuala Lumpur', 'notifications': None, 'friends_count': 882, 'utc_offset': 28800, 'verified': False, 'profile_background_image_url_https': 'https://abs.twimg.com/images/themes/theme17/bg.gif', 'profile_text_color': '333333', 'description': 'DAP NS Organising Secretary &\nState Assemblymen for Nilai', 'favourites_count': 73, 'follow_request_sent': None, 'id': 574504370, 'default_profile': False, 'statuses_count': 4253, 'profile_image_url': 'http://pbs.twimg.com/profile_images/617705260023283712/aaqhSqWL_normal.jpg', 'protected': False, 'entities': {'description': {'urls': []}}, 'contributors_enabled': False, 'profile_sidebar_border_color': 'DBE9ED', 'listed_count': 9, 'profile_background_image_url': 'http://abs.twimg.com/images/themes/theme17/bg.gif', 'followers_count': 646, 'geo_enabled': True, 'location': 'NEGERI SEMBILAN', 'profile_sidebar_fill_color': 'E6F6F9', 'name': 'J. Arul Kumar'}",0,,,False,in,"Kempen Derma Darah anjuran Pusat Komuniti DAP DUN Nilai &amp; Parlimen Seremban dan BG Group.
Terima kasih kepada 68... https://t.co/i3c6z7sjI5",,871287363581956097,,,0,False,,Sun Jun 04 08:47:49 +0000 2017,871287363581956097,False,False,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/i3c6z7sjI5', 'indices': [120, 143], 'display_url': 'fb.me/3bp0oDt4i', 'expanded_url': 'http://fb.me/3bp0oDt4i'}]}",,,"<a href=""http://www.facebook.com/twitter"" rel=""nofollow"">Facebook</a>"
,False,"{'profile_banner_url': 'https://pbs.twimg.com/profile_banners/574504370/1436107462', 'profile_background_tile': False, 'screen_name': 'Arul_DAPNS', 'profile_image_url_https': 'https://pbs.twimg.com/profile_images/617705260023283712/aaqhSqWL_normal.jpg', 'following': None, 'profile_use_background_image': True, 'translator_type': 'none', 'created_at': 'Tue May 08 14:10:18 +0000 2012', 'lang': 'en', 'default_profile_image': False, 'is_translation_enabled': False, 'id_str': '574504370', 'is_translator': False, 'has_extended_profile': False, 'url': None, 'profile_background_color': 'DBE9ED', 'profile_link_color': 'CC3366', 'time_zone': 'Kuala Lumpur', 'notifications': None, 'friends_count': 882, 'utc_offset': 28800, 'verified': False, 'profile_background_image_url_https': 'https://abs.twimg.com/images/themes/theme17/bg.gif', 'profile_text_color': '333333', 'description': 'DAP NS Organising Secretary &\nState Assemblymen for Nilai', 'favourites_count': 73, 'follow_request_sent': None, 'id': 574504370, 'default_profile': False, 'statuses_count': 4253, 'profile_image_url': 'http://pbs.twimg.com/profile_images/617705260023283712/aaqhSqWL_normal.jpg', 'protected': False, 'entities': {'description': {'urls': []}}, 'contributors_enabled': False, 'profile_sidebar_border_color': 'DBE9ED', 'listed_count': 9, 'profile_background_image_url': 'http://abs.twimg.com/images/themes/theme17/bg.gif', 'followers_count': 646, 'geo_enabled': True, 'location': 'NEGERI SEMBILAN', 'profile_sidebar_fill_color': 'E6F6F9', 'name': 'J. Arul Kumar'}",0,,,False,in,Lawatan AJK DAP NS ke Pekan Mantin! https://t.co/yXsCKaqpbj,,871284069136560128,,,0,False,,Sun Jun 04 08:34:44 +0000 2017,871284069136560128,False,False,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/yXsCKaqpbj', 'indices': [36, 59], 'display_url': 'fb.me/3LJAhAoXi', 'expanded_url': 'http://fb.me/3LJAhAoXi'}]}",,,"<a href=""http://www.facebook.com/twitter"" rel=""nofollow"">Facebook</a>"
,False,"{'profile_banner_url': 'https://pbs.twimg.com/profile_banners/574504370/1436107462', 'profile_background_tile': False, 'screen_name': 'Arul_DAPNS', 'profile_image_url_https': 'https://pbs.twimg.com/profile_images/617705260023283712/aaqhSqWL_normal.jpg', 'following': None, 'profile_use_background_image': True, 'translator_type': 'none', 'created_at': 'Tue May 08 14:10:18 +0000 2012', 'lang': 'en', 'default_profile_image': False, 'is_translation_enabled': False, 'id_str': '574504370', 'is_translator': False, 'has_extended_profile': False, 'url': None, 'profile_background_color': 'DBE9ED', 'profile_link_color': 'CC3366', 'time_zone': 'Kuala Lumpur', 'notifications': None, 'friends_count': 882, 'utc_offset': 28800, 'verified': False, 'profile_background_image_url_https': 'https://abs.twimg.com/images/themes/theme17/bg.gif', 'profile_text_color': '333333', 'description': 'DAP NS Organising Secretary &\nState Assemblymen for Nilai', 'favourites_count': 73, 'follow_request_sent': None, 'id': 574504370, 'default_profile': False, 'statuses_count': 4253, 'profile_image_url': 'http://pbs.twimg.com/profile_images/617705260023283712/aaqhSqWL_normal.jpg', 'protected': False, 'entities': {'description': {'urls': []}}, 'contributors_enabled': False, 'profile_sidebar_border_color': 'DBE9ED', 'listed_count': 9, 'profile_background_image_url': 'http://abs.twimg.com/images/themes/theme17/bg.gif', 'followers_count': 646, 'geo_enabled': True, 'location': 'NEGERI SEMBILAN', 'profile_sidebar_fill_color': 'E6F6F9', 'name': 'J. Arul Kumar'}",0,,,False,und,https://t.co/5Fto7Fjhzm,,871283885933563904,,,0,False,,Sun Jun 04 08:34:00 +0000 2017,871283885933563904,False,False,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/5Fto7Fjhzm', 'indices': [0, 23], 'display_url': 'fb.me/wIRHXDt1', 'expanded_url': 'http://fb.me/wIRHXDt1'}]}",,,"<a href=""http://www.facebook.com/twitter"" rel=""nofollow"">Facebook</a>"
,False,"{'profile_banner_url': 'https://pbs.twimg.com/profile_banners/574504370/1436107462', 'profile_background_tile': False, 'screen_name': 'Arul_DAPNS', 'profile_image_url_https': 'https://pbs.twimg.com/profile_images/617705260023283712/aaqhSqWL_normal.jpg', 'following': None, 'profile_use_background_image': True, 'translator_type': 'none', 'created_at': 'Tue May 08 14:10:18 +0000 2012', 'lang': 'en', 'default_profile_image': False, 'is_translation_enabled': False, 'id_str': '574504370', 'is_translator': False, 'has_extended_profile': False, 'url': None, 'profile_background_color': 'DBE9ED', 'profile_link_color': 'CC3366', 'time_zone': 'Kuala Lumpur', 'notifications': None, 'friends_count': 882, 'utc_offset': 28800, 'verified': False, 'profile_background_image_url_https': 'https://abs.twimg.com/images/themes/theme17/bg.gif', 'profile_text_color': '333333', 'description': 'DAP NS Organising Secretary &\nState Assemblymen for Nilai', 'favourites_count': 73, 'follow_request_sent': None, 'id': 574504370, 'default_profile': False, 'statuses_count': 4253, 'profile_image_url': 'http://pbs.twimg.com/profile_images/617705260023283712/aaqhSqWL_normal.jpg', 'protected': False, 'entities': {'description': {'urls': []}}, 'contributors_enabled': False, 'profile_sidebar_border_color': 'DBE9ED', 'listed_count': 9, 'profile_background_image_url': 'http://abs.twimg.com/images/themes/theme17/bg.gif', 'followers_count': 646, 'geo_enabled': True, 'location': 'NEGERI SEMBILAN', 'profile_sidebar_fill_color': 'E6F6F9', 'name': 'J. Arul Kumar'}",0,,,False,und,https://t.co/uLupJ49V3J,,871018133078847488,,,0,False,,Sat Jun 03 14:58:00 +0000 2017,871018133078847488,False,False,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/uLupJ49V3J', 'indices': [0, 23], 'display_url': 'fb.me/to3ZZ8i3', 'expanded_url': 'http://fb.me/to3ZZ8i3'}]}",,,"<a href=""http://www.facebook.com/twitter"" rel=""nofollow"">Facebook</a>"
,False,"{'profile_banner_url': 'https://pbs.twimg.com/profile_banners/574504370/1436107462', 'profile_background_tile': False, 'screen_name': 'Arul_DAPNS', 'profile_image_url_https': 'https://pbs.twimg.com/profile_images/617705260023283712/aaqhSqWL_normal.jpg', 'following': None, 'profile_use_background_image': True, 'translator_type': 'none', 'created_at': 'Tue May 08 14:10:18 +0000 2012', 'lang': 'en', 'default_profile_image': False, 'is_translation_enabled': False, 'id_str': '574504370', 'is_translator': False, 'has_extended_profile': False, 'url': None, 'profile_background_color': 'DBE9ED', 'profile_link_color': 'CC3366', 'time_zone': 'Kuala Lumpur', 'notifications': None, 'friends_count': 882, 'utc_offset': 28800, 'verified': False, 'profile_background_image_url_https': 'https://abs.twimg.com/images/themes/theme17/bg.gif', 'profile_text_color': '333333', 'description': 'DAP NS Organising Secretary &\nState Assemblymen for Nilai', 'favourites_count': 73, 'follow_request_sent': None, 'id': 574504370, 'default_profile': False, 'statuses_count': 4253, 'profile_image_url': 'http://pbs.twimg.com/profile_images/617705260023283712/aaqhSqWL_normal.jpg', 'protected': False, 'entities': {'description': {'urls': []}}, 'contributors_enabled': False, 'profile_sidebar_border_color': 'DBE9ED', 'listed_count': 9, 'profile_background_image_url': 'http://abs.twimg.com/images/themes/theme17/bg.gif', 'followers_count': 646, 'geo_enabled': True, 'location': 'NEGERI SEMBILAN', 'profile_sidebar_fill_color': 'E6F6F9', 'name': 'J. Arul Kumar'}",0,,,False,und,https://t.co/Yzkvj47Th2,,870980894059900928,,,0,False,,Sat Jun 03 12:30:01 +0000 2017,870980894059900928,False,False,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/Yzkvj47Th2', 'indices': [0, 23], 'display_url': 'fb.me/CnEy9hLf', 'expanded_url': 'http://fb.me/CnEy9hLf'}]}",,,"<a href=""http://www.facebook.com/twitter"" rel=""nofollow"">Facebook</a>"
