username,time,avatar_title,group,post_count,join_date,from,text
seiferalmercy,"  Jul 11 2017, 01:37 PM, updated 2h ago",New Member,Group: Junior Member,Posts: 37,Joined: May 2010,,"what would it be like ?a bit like metroll with hantu story, with a dash of hnggh drills like dailymail, a bit of racing ala mainstream papers, and some sports ? more importantly, apa lu sukak?"
OldSchoolJoke,"  Jul 11 2017, 01:39 PM",Getting Started,Group: Junior Member,Posts: 196,Joined: Mar 2010,,9 pages hnnngghgh1 page real world issue
Boom Mortar,"  Jul 11 2017, 01:40 PM",Getting Started,Group: Junior Member,Posts: 145,Joined: Sep 2013,,"add on some dear khelma for dino,bingding and sadsoul"
IMBeta305,"  Jul 11 2017, 01:40 PM",Casual,Group: Junior Member,Posts: 326,Joined: Jan 2013,,with daily poll of <insert country/race> jie jie kybky
Blofeld,"  Jul 11 2017, 01:41 PM",Look at all my stars!!,Group: Senior Member,"Posts: 2,426",Joined: Mar 2012,,playboy
bereev,"  Jul 11 2017, 01:47 PM",Getting Started,Group: Junior Member,Posts: 53,Joined: Dec 2011,,"janji like utish1t , jilat must has"
h4r8_kIlLeR,"  Jul 11 2017, 01:51 PM",New Member,Group: Junior Member,Posts: 9,Joined: Jun 2009,,2 whole pages dedicated to pmr for her to kuda.
small porcupine,"  Jul 11 2017, 01:53 PM",New Member,Group: New Member,Posts: 0,Joined: Jul 2017,,got entertainment news
abgropi,"  Jul 11 2017, 03:05 PM",New Member,Group: New Member,Posts: 0,Joined: Jun 2017,,1 pages for bashing kelantan only.i want to buy that newspaper.
Kim Bi Jan,"  Jul 11 2017, 03:09 PM",New Member,Group: New Member,Posts: 0,Joined: Jul 2016,,1 page dedicated to hnnghthe rest to victim blamingpls hire me as editor..willing to pay to work there
M4A1,"  Jul 11 2017, 03:10 PM",[*#^?SONE?^#],Group: Senior Member,"Posts: 1,169",Joined: Aug 2005,,Vrooooom
Ewww!,"  Jul 11 2017, 03:13 PM",New Member,Group: Junior Member,Posts: 20,Joined: Jul 2016,From: Lol!,"Well, if you are one of the columnist, i'm gonna throw it out of my window. Lol!"
Toyoi,"  Jul 11 2017, 03:20 PM",New Member,Group: Junior Member,Posts: 7,Joined: Feb 2013,From: ToyoiLand,Hnngghh Sections:Morning Nasi Lemak by nm7Daily Mammary by everestPump the Plump by mafiosoKing of Fap by hyundaiMYFrom Batam with love by jeneral bbk Nearlee
netmatrix,"  Jul 11 2017, 03:20 PM",The machine... it sees everything.,Group: Senior Member,"Posts: 4,125",Joined: Jan 2003,From: Zion,"I would rather have it in monthly lifestyle/ entertainment magazine. Every month cover 1 staff of LYF with Se7en being first. To add to the craziness have some articles in Malay and english. 1 hnnggghhhh story is a must. Have hidden fake news/ story that everyone needs to debunk. Cheap ass gadget reviews that no one thinks of buying. Like RM99 car DVR, fake USB drives. Stupid things DIY section. Can ask Mr DIY, Daiso, Hinode to sponsor a product to do some stupid DIY projects hosted by avocado.Must have Satria section hosted by zeist.Selected toys section.Random stuff for sale with pix paid for ads. Must be RM10 per copy. With freebies like stickers."
aizielectreon,"  Jul 11 2017, 03:24 PM",Casual,Group: Junior Member,Posts: 306,Joined: May 2009,,1 page of bigblow. everyday bigblow #1..#2..n
myasiahobby,"  Jul 11 2017, 03:28 PM",Casual,Group: Junior Member,Posts: 455,Joined: Dec 2009,From: Russia,"all hnggh section.... like latest JAV with download address, nekid picture, sexy story"
Lyu,"  Jul 11 2017, 03:32 PM",Getting Started,Group: Junior Member,Posts: 147,Joined: Jan 2015,,Good ideaNow I know wat to write in my weebly/k story...
silent_stalker,"  Jul 11 2017, 03:34 PM",Enthusiast,Group: Senior Member,Posts: 820,Joined: Apr 2012,,"If k is a newspaper, will be closed down the next day"
Toyoi,"  Jul 11 2017, 03:43 PM",New Member,Group: Junior Member,Posts: 7,Joined: Feb 2013,From: ToyoiLand,Hnngghh sections:My OL escapade by Lyu
nearlee,"  Jul 11 2017, 03:45 PM",Getting Started,Group: Junior Member,Posts: 103,Joined: May 2009,From: iNearly,>piap jer la Nearlee
