username,time,avatar_title,group,post_count,join_date,from,text
Coup De Grace,"  Jul 11 2017, 12:20 AM, updated 35m ago",Getting Started,Group: Junior Member,Posts: 139,Joined: Nov 2016,,"He said no waifu or gf, the guy will become a bit weird or pondan.What do u think?"
hcmalaya,"  Jul 11 2017, 12:25 AM",New Member,Group: New Member,Posts: 0,Joined: Oct 2015,,Trophy wife n cheong gf
JeremyLord,"  Jul 11 2017, 12:26 AM",Getting Started,Group: Junior Member,Posts: 218,Joined: Nov 2012,From: Planet Earth,If gay then how
h4r8_kIlLeR,"  Jul 11 2017, 12:28 AM",New Member,Group: Junior Member,Posts: 9,Joined: Jun 2009,,"Lol. Must be true... My colleague tells me one of the senior guys are calling me ""the wierd guy""... But I've been called that by girls since high school... And college""Harith pelik doh... Hahaha"""
cj7,"  Jul 11 2017, 12:37 AM",Casual,Group: Junior Member,Posts: 356,Joined: Mar 2008,,your senior is weak.
wertty,"  Jul 11 2017, 12:39 AM",Getting Started,Group: Junior Member,Posts: 100,Joined: Jul 2008,From: Petaling Jaya,I rather turn into legendary wizardthen use my mighty powers to overthrow Bn
silent_stalker,"  Jul 11 2017, 12:40 AM",Enthusiast,Group: Senior Member,Posts: 820,Joined: Apr 2012,,"Dunno, but most andartu i met perangai semacam. Like pms 24/7"
jamilselamat,"  Jul 11 2017, 12:41 AM",Getting Started,Group: Junior Member,Posts: 85,Joined: Jul 2011,,"...I guess my foreveralone status does mess with my head sometimes. I dont really care what the society considers 'normal' though. As far as I'm concerned, society hardly gives a shit about me or my family. Even when they did help us, it was only to make themselves feel good.So fuck society and fuck what they consider 'normal'. As long as I dont break any laws or owe someone money, I'll do whatever the fuck I want."
ListenToTheAngin,"  Jul 11 2017, 12:42 AM",New Member,Group: Junior Member,Posts: 22,Joined: Jun 2015,,Not all guy as lucky.One mudguard unker in his 50s still single prolly because no amoi willing to settle down with a mudguard lou.
YellowKingValley,"  Jul 11 2017, 01:08 AM",Casual,Group: Junior Member,Posts: 398,Joined: Dec 2014,,Real man has waifus and gfs (plural)!
fu'house,"  Jul 11 2017, 01:14 AM",Getting Started,Group: Junior Member,Posts: 175,Joined: Oct 2010,,"The same with woman. No man, she behaves differently.Paired up is the best regardless of gender."
acbc,"  Jul 11 2017, 01:14 AM",Look at all my stars!!,Group: Senior Member,"Posts: 5,104",Joined: Jan 2003,,Your senior is weak and not adventurous. Probably afraid of women also.
zakuankajang,"  Jul 11 2017, 01:32 AM",New Member,Group: New Member,Posts: 0,Joined: May 2017,"From: Kepala Batas, Penang",nielwoowoo1205
tsunade,"  Jul 11 2017, 01:34 AM",Regular,Group: Senior Member,"Posts: 1,876",Joined: Jan 2003,From: Konoha,end up like this?
seiferalmercy,"  Jul 11 2017, 01:38 AM",New Member,Group: Junior Member,Posts: 37,Joined: May 2010,,insaplah hangjangan lah kamu berputuih asa dari rahmat Allahnanti ade je tu jodoh hngggh
Arata,"  Jul 11 2017, 02:06 AM",New Member,Group: New Member,Posts: 1,Joined: Jul 2016,,^^Bingding
KLboy92,"  Jul 11 2017, 03:09 AM",New Member,Group: Junior Member,Posts: 32,Joined: Aug 2015,From: Cherasboy,Your senior needs the support of wimminz?
PortgasDerekAce,"  Jul 11 2017, 07:52 AM",New Member,Group: Junior Member,Posts: 46,Joined: Mar 2011,,justifying the needs of validationnice logic there
nuvi,"  Jul 11 2017, 08:06 AM",New Member,Group: Junior Member,Posts: 25,Joined: Aug 2009,,Just look at /kEh wait...
hiyyl,"  Jul 11 2017, 08:06 AM",Getting Started,Group: Junior Member,Posts: 197,Joined: Nov 2009,From: PJ | Sibu,Bt some lucky unker age 50+ manage to get a young waifu around 20-30+
huaweie5830,"  Jul 11 2017, 08:08 AM",Enthusiast,Group: Senior Member,Posts: 917,Joined: Jan 2013,,LolI loled
gsem984,"  Jul 11 2017, 08:09 AM",Getting Started,Group: Junior Member,Posts: 109,Joined: Oct 2015,,"as long as u are happy, what is wrong?"
ak101ss,"  Jul 11 2017, 08:10 AM",Casual,Group: Junior Member,Posts: 382,Joined: Jul 2009,From: Soyuz Sovetskikh Sotsialisticheskikh Respublik,"Well unfortunately there's more men than wamen, so some guys are eventually gonna be fucked. So....."
bereev,"  Jul 11 2017, 08:17 AM",Getting Started,Group: Junior Member,Posts: 53,Joined: Dec 2011,,kinda agree no wifu no gf is no ball imagine u need to brave to get pork chop/land whale as waifu/gf
TheMrBinary,"  Jul 11 2017, 08:24 AM",Scrubs,Group: Senior Member,Posts: 548,Joined: Dec 2011,,Pathetic senior
khusyairi,"  Jul 11 2017, 08:26 AM",Getting Started,Group: Junior Member,Posts: 67,Joined: Dec 2011,,Yes true.without waifu or GF; there is something wrong wt that man. Either he is weirdo or pondan.
Benefon,"  Jul 11 2017, 08:27 AM",Getting Started,Group: Junior Member,Posts: 130,Joined: Mar 2017,,"My friend no gf no waifu.He almost reaching 40s , he enjoyed his life's .. go anywhere or each countries cheong only.He said as a human should tests on each counties women out there."
Zaxx_Yong,"  Jul 11 2017, 08:28 AM",Getting Started,Group: Junior Member,Posts: 65,Joined: Nov 2016,,"My Ex boss told me this ??He prefer a married guys instead of single guys ... married guys had a family burden so he wont jump here jump there ... he also said married guys more efficient because when he how to manage his family .. tau manage family means know how to manage my company ... my otak said bull shitAs for women, he prefer single women because married women had a lot of family commitments and her attention definitely more towards her family than company ... my otak said bull shit again ...."
rcracer,"  Jul 11 2017, 08:28 AM",?????,Group: Senior Member,"Posts: 3,437",Joined: Jan 2003,,"Being bachelor , I find people in relationships develop a self entitled attitude , sort of their superior because they take Dick or give Dick to someone They find it appropriate to give shallow comments because I got bf/gf"
darkmusses,"  Jul 11 2017, 08:29 AM",Getting Started,Group: Junior Member,Posts: 160,Joined: Nov 2008,From: Kuala Lumpur,I agreed. Just have civil partnership is good enough then marriage and divorce ... Just find companionship cukupla
khusyairi,"  Jul 11 2017, 08:31 AM",Getting Started,Group: Junior Member,Posts: 67,Joined: Dec 2011,,Man wt GF or waifu also cheong la. It's not related to this topic.
smallcrab,"  Jul 11 2017, 08:33 AM",Getting Started,Group: Junior Member,Posts: 82,Joined: Jul 2007,From: Puchong,Landwhales and midgets everywhere. Dun be choosy
sohailayhun,"  Jul 11 2017, 08:35 AM",New Member,Group: Junior Member,Posts: 25,Joined: Jan 2011,,Veli veli normal
khusyairi,"  Jul 11 2017, 08:35 AM",Getting Started,Group: Junior Member,Posts: 67,Joined: Dec 2011,,I think 90% of yr ex boss told u is true.That's the conclusion that I get after I interview hundreds of people to work in my company.
titanz,"  Jul 11 2017, 08:37 AM",New Member,Group: Junior Member,Posts: 20,Joined: Jan 2012,,your senior is ??????? type of man!
zeese,"  Jul 11 2017, 08:42 AM",Warning Level,Group: Senior Member,"Posts: 1,332",Joined: Jan 2005,From: Kuala Lumpur,"Go to Thailand, and come back as a man!!! Simple."
rcracer,"  Jul 11 2017, 08:42 AM",?????,Group: Senior Member,"Posts: 3,437",Joined: Jan 2003,,"My company prefer single people from actual experience The married ones always car sick, wife sick, brother sick, dick sick, neighbor dotter sick . Come long holiday always cash advance cash for this for that anak , long holiday no show up at work kid sick la , kid this kid that Some even threaten sue company cause them too much work cause family break up."
everest,"  Jul 11 2017, 08:43 AM",Getting Started,Group: Junior Member,Posts: 61,Joined: Sep 2007,,No girlfriend
Jasonist,"  Jul 11 2017, 08:44 AM",gegegegege,Group: Senior Member,"Posts: 1,103",Joined: May 2006,From: Malaysia,"then u should snatch ur senior wife/gf to show dominance on him, this way not only to increase ur masculinity but also potential for u to become his senior"
