username,time,avatar_title,group,post_count,join_date,from,text
djx_6,"  Jul 19 2017, 10:19 AM, updated 3h ago",Getting Started,Group: Junior Member,Posts: 61,Joined: Mar 2007,From: Cyberjaya,How much Car SA earns per month? Whats the basic salary and how much commission they get per car?
amxpayne67,"  Jul 19 2017, 10:21 AM",The Coon,Group: Senior Member,Posts: 683,Joined: Mar 2010,From: Puchong Extreme,"volume of car sold value of the car soldin short, 1000 myvi per month vs 2 bmw 5 series per month"
faizalfaizal,"  Jul 19 2017, 10:22 AM",New Member,Group: Junior Member,Posts: 6,Joined: May 2012,From: Kuala Lumpur,alotmy friends work as SA all 4 to 5 figures per month
1malaysiajib,"  Jul 19 2017, 10:23 AM",New Member,Group: Junior Member,Posts: 30,Joined: Jan 2017,,Used car dealers have higher margin.
omaigad,"  Jul 19 2017, 10:23 AM",Getting Started,Group: Junior Member,Posts: 54,Joined: Dec 2011,From: some where out there,"i saw Tan chong SA pay slip once,Basic 900some month got 2k, 4k, 5k, 8k, up to 11k...some month makan basic 900 only..."
MonsterPips,"  Jul 19 2017, 10:25 AM",Casual,Group: Junior Member,Posts: 320,Joined: Jun 2013,,Porshe SA one car per month can beat my salary already
1malaysiajib,"  Jul 19 2017, 10:27 AM",New Member,Group: Junior Member,Posts: 30,Joined: Jan 2017,,A former friend of mine was who was with Mercedes said that he could earn around RM700-900/car that is sold (C200).Higher percentage of bigger cars
jagjag,"  Jul 19 2017, 10:27 AM",Casual,Group: Junior Member,Posts: 373,Joined: Jan 2012,From: Rachong,"If u sell a ghost, u get 12K commission. But normally your client is your boss's friend, so you only take 2k for helping to administrate the sell. The commission is for the boss coz he / she recommend it.."
1malaysiajib,"  Jul 19 2017, 10:29 AM",New Member,Group: Junior Member,Posts: 30,Joined: Jan 2017,,But how many Rolls Royce can a SA sell in a yr ?
skloda,"  Jul 19 2017, 10:29 AM","Keep Calm , You Only Live Once",Group: Senior Member,"Posts: 1,752",Joined: Apr 2010,From: Keep Walking ... Tomorrowland,"low basic , high commission  ... 1 car average 1k++ not included trade in car (songlap few k), runner fees, No Plate , Tinted those."
Prometric,"  Jul 19 2017, 10:30 AM",Getting Started,Group: Junior Member,Posts: 216,Joined: Aug 2010,,"Go sell private jet, sell 1 jet get 6 figure commission"
xHj09,"  Jul 19 2017, 10:31 AM",Your Friendly Neighborhood,Group: Senior Member,Posts: 734,Joined: Apr 2010,,"heard from a brokerthey rather sell cheap cars than expensive cars, coz margin not much difference, easier to get people buy cheap cars. some more cars like merc kena layan datuks datuks. those rich customers, kadang kadang midnight say want test driveback to topic, basic as mentioned above, it's 900. kereta margin roughly 1k-2k (commission from one car about 500-1k?) + some places bagi handling fee extra 600 + discount (biasanya x bagitau customer, like RM500 discount + 5 years free service, they usually just promo free service), then makan the discount rm500this for cheap car, for cars like merc: basic tinggi, margin no big difference, they make money from trade in, mark up some parts"
wokies,"  Jul 19 2017, 10:31 AM",Getting Started,Group: Junior Member,Posts: 192,Joined: Sep 2013,,1xxx k per car for local car...one month 10 car ..not include basic..consider good oh
Prometric,"  Jul 19 2017, 10:34 AM",Getting Started,Group: Junior Member,Posts: 216,Joined: Aug 2010,,"I know some lousy datuks memang like that, he memang want to buy that car liau. But die die organize party at house then midnight call the salesman bring the car over to test drive just to show off to his friends. Kecian the salesman but at least he bought a S-Class from him la"
ListenToTheAngin,"  Jul 19 2017, 10:36 AM",New Member,Group: Junior Member,Posts: 22,Joined: Jun 2015,,"Correct, orang atas are much tougher to deal with."
ashportal,"  Jul 19 2017, 10:38 AM",Enthusiast,Group: Senior Member,Posts: 739,Joined: Oct 2008,,"Tell u arr, P2 SA basic 300, rest depends on how many car u sell a month. U eat commission onlysome car, like bezza they fixed the commision, IINM only 300/car, reason is P2 head say bezza new model, sure lots of customer will come showroom to buy. Thats why u see P2 SA dont care much selling bezza, they target selling others especially MYVI."
teh_tarik_satu,"  Jul 19 2017, 10:38 AM",Getting Started,Group: Junior Member,Posts: 128,Joined: Jun 2011,,agree.
gsem984,"  Jul 19 2017, 10:39 AM",Getting Started,Group: Junior Member,Posts: 109,Joined: Oct 2015,,0
kidmad,"  Jul 19 2017, 10:39 AM",Look at all my stars!!,Group: Senior Member,"Posts: 3,392",Joined: Jul 2005,,local cars i think rm300  - rm500 only oh.. does it really hitt up to RM1k?Wow smart Sales Rep can take this opportunity to sell a couple more unit.
Prometric,"  Jul 19 2017, 10:41 AM",Getting Started,Group: Junior Member,Posts: 216,Joined: Aug 2010,,"Ya, but not nice laaa. Like this play people. People also earning living only jek"
