username,time,avatar_title,group,post_count,join_date,from,text
jfleong,"  Jul 19 2017, 11:33 AM, updated 54s ago",New Member,Group: Junior Member,Posts: 29,Joined: Nov 2014,,"RHB in talks with Ambank Now it's alleged that Alliance has plans to merge with HLB That will bring local conventional banks down to 6 Any more mergers? If this trend continues we might end up with only sotong and harimau, means no competition"
azhan82,"  Jul 19 2017, 11:35 AM",Getting Started,Group: Junior Member,Posts: 240,Joined: May 2015,From: Klang Valley,"Hmm... seems something is wrong with our banks..The last time we had this many mergers, was during the 1998 financial crisis..."
fuzzy,"  Jul 19 2017, 11:36 AM",*pew pew pew*,Group: Senior Member,"Posts: 4,687",Joined: Jan 2003,From: Klang,"Got more coming, but cannot reveal. If you part of industry you will know la...."
tsg_7,"  Jul 19 2017, 11:37 AM",On my way,Group: Senior Member,Posts: 517,Joined: Aug 2008,"From: Port Klang, Selangor","In b4 we still have pbb, bank islam, bank muamalat, bank rakyat, etc etc"
everest,"  Jul 19 2017, 11:39 AM",Getting Started,Group: Junior Member,Posts: 61,Joined: Sep 2007,,Terima kasih BN
max_cavalera,"  Jul 19 2017, 11:40 AM",the world is so beautiful..,Group: Senior Member,"Posts: 4,513",Joined: Jun 2006,"From: Cyberjaya, Shah Alam, Ipoh",Banks are generally failing...Even very strict loan approval/risk management banks like maybank is slowing down....I dunno but sometimes i always get strange premonition in 10 ears time there will be no more banks like we know today  Kinda worried oso since wifu works in bank
Radiant360,"  Jul 19 2017, 11:40 AM",Getting Started,Group: Junior Member,Posts: 100,Joined: Jul 2017,,Ambank need to merge quickly 1mdb to personal acc record still therr
alien13579,"  Jul 19 2017, 11:40 AM",New Member,Group: New Member,Posts: 0,Joined: Apr 2009,,bank merge every 20 years
bRainstoRe,"  Jul 19 2017, 11:41 AM",New Member,Group: Junior Member,Posts: 36,Joined: Nov 2010,,Salah LGE
saintnotsinner,"  Jul 19 2017, 11:44 AM",New Member,Group: Junior Member,Posts: 7,Joined: Jan 2015,,USD 1 = RM 6 incoming!
jfleong,"  Jul 19 2017, 11:48 AM",New Member,Group: Junior Member,Posts: 29,Joined: Nov 2014,,The first one is included in the current 8 The last 3 are not conventional banks
AyamBannedTwice,"  Jul 19 2017, 11:49 AM",Getting Started,Group: Junior Member,Posts: 55,Joined: Feb 2015,,"Hint: If that particular bank didn't put effort/invest to be digital by 2018, then soon they going to merge"
1malaysiajib,"  Jul 19 2017, 11:49 AM",New Member,Group: Junior Member,Posts: 30,Joined: Jan 2017,,"Banks collapse, currencies collapse and all people start using CRYPTOS"
powerlinkers,"  Jul 19 2017, 11:50 AM",New Member,Group: Junior Member,Posts: 19,Joined: Jun 2017,,"They need to merge because once Tun Razak Exchange first phase completed, expect full financial sector liberalization in Malaysia, starting in year 2020.all small fish will die."
gsem984,"  Jul 19 2017, 11:50 AM",Getting Started,Group: Junior Member,Posts: 109,Joined: Oct 2015,,best way to destroy evidence
olman,"  Jul 19 2017, 11:54 AM",Pukimon,Group: Senior Member,"Posts: 1,843",Joined: Jan 2003,From: PukiDex 150: SlowMon,Pls dun tell me its harimau bank
teehk_tee,"  Jul 19 2017, 11:58 AM",#crushingit ?,Group: Senior Member,"Posts: 5,200",Joined: Apr 2005,From: KUL/HKG/BKK/JKT,most likely the old chinaman bank or harimau.
jfleong,"  Jul 19 2017, 11:59 AM",New Member,Group: Junior Member,Posts: 29,Joined: Nov 2014,,Ahfin bank leh?
+3kk!,"  Jul 19 2017, 11:59 AM",Look at all my stars!!,Group: Senior Member,"Posts: 7,843",Joined: May 2006,,"they are not la, banks doing okist just Am bank go layan pak jib and kak ros, so kena burnthey trying to sell the bank but i duno who will want them ladamn aussies duno msian logic, go play with fire"
bereev,"  Jul 19 2017, 12:01 PM",Getting Started,Group: Junior Member,Posts: 53,Joined: Dec 2011,,"no lah our economy is strong , international financial institution give very good rate to Malaysia economy"
