username,time,avatar_title,group,post_count,join_date,from,text
pikacu,"  Jul 11 2017, 02:31 PM, updated 1h ago",male tag rosak,Group: Senior Member,"Posts: 7,278",Joined: Jun 2006,From: Some Yih,"four days Bubur Ayam McD Large was rm8.70today rm8.80. choco top now rm2, not sure what it was previouslyekonomi malaysia semakin bagus? ironmaid89"
Mike3,"  Jul 11 2017, 02:33 PM",New Member,Group: Junior Member,Posts: 11,Joined: Apr 2015,,Once taken over by the saudi group.the price just go up and up.During raya the foldover seems to have a piece of meat only instead of 2. correct me if im wrong.yea choco top is rm2 now. last time 1.90
wilsonjay,"  Jul 11 2017, 02:33 PM",Wade Wilson,Group: Senior Member,"Posts: 1,489",Joined: Feb 2006,From: When The World Comes Down,"tunaseng, their mcflurry they basically replace the top cover with the normal plastic drink cover, fuk make it even less now"
adamhzm90,"  Jul 11 2017, 02:34 PM",On my way,Group: Senior Member,Posts: 535,Joined: Apr 2014,,RM2 already?hopefully frozen coke and fanta price will stay
teehk_tee,"  Jul 11 2017, 02:34 PM",#crushingit ?,Group: Senior Member,"Posts: 5,200",Joined: Apr 2005,From: KUL/HKG/BKK/JKT,is ok .. serfs will still kill for the overhyped spicy chikkin
famusanus,"  Jul 11 2017, 02:35 PM",New Member,Group: Junior Member,Posts: 9,Joined: Mar 2017,,Doesn't matter still always full house
jacckl,"  Jul 11 2017, 02:36 PM",New Member,Group: Junior Member,Posts: 49,Joined: Nov 2012,,one burger = 1 bulletoh wai~
Koichisan,"  Jul 11 2017, 02:36 PM",New Member,Group: Junior Member,Posts: 8,Joined: Jun 2017,,But their ayam goreng spicy is better than kfc.
RO Player,"  Jul 11 2017, 02:36 PM",Now I am a Se7eN Star TigeR!,Group: Senior Member,"Posts: 3,759",Joined: Jan 2003,,get lax...mix & match RM 6....got buburur in the menu..
M2K2Land,"  Jul 11 2017, 02:36 PM",Inevitable ??,Group: Senior Member,"Posts: 2,407",Joined: Apr 2006,,ya raise 10 cents for choco top... kns betui
MeToo,"  Jul 11 2017, 02:36 PM",Look at all my stars!!,Group: Senior Member,"Posts: 5,952",Joined: May 2009,,After the Saudi group took over... I banned it alrdy... Cause their drive thru is like haram jadah now... so slow causing the line to build and jam up the entire area upto the main road...
COOLPINK,"  Jul 11 2017, 02:38 PM",Getting Started,Group: Junior Member,Posts: 184,Joined: Oct 2010,,no cheap hawker food got cheap fast food.now no cheap fast food.so how?
bereev,"  Jul 11 2017, 02:38 PM",Getting Started,Group: Junior Member,Posts: 53,Joined: Dec 2011,,"kalau ekonomi tak baik sudah makam kangkung , lagi boleh makan McD"
versey,"  Jul 11 2017, 02:39 PM",Casual,Group: Junior Member,Posts: 401,Joined: Jan 2007,,"the price is different from other MCD branches.big breakfast in MCD puchong is RM 11.10, whereas MCD seri kembangan is RM 10.80 dunno y the price is not standard now."
ibnunarsim,"  Jul 11 2017, 02:40 PM",Getting Started,Group: Junior Member,Posts: 201,Joined: Jan 2012,From: Klang - KL - Klang,Ramly burger lagi syok la..
netmatrix,"  Jul 11 2017, 02:40 PM",The machine... it sees everything.,Group: Senior Member,"Posts: 4,125",Joined: Jan 2003,From: Zion,"McD quality of food has went down compared to the price. Really. Not worth the trip anymore. Would rather eat 7-11, KK, Speedmart roti than McD now."
Strike,"  Jul 11 2017, 02:41 PM",New Member,Group: Junior Member,Posts: 34,Joined: Jan 2003,From: KL,thisthe McD marketing team just lulz..
buncho89,"  Jul 11 2017, 02:41 PM",Getting Started,Group: Junior Member,Posts: 110,Joined: Aug 2011,,"naik 10c je chocotop wanna kecoh meh. Still ok la. Last time rm1.90 get back 10c also donate only to their kids charity.Now the mix and match promo back. 12 bucks u can get mcchicken, cheeseburger, small fries and apple pie. Untung liao.But fark their other meals. Big mac the worst..patty small mcm cb..."
