username,time,avatar_title,group,post_count,join_date,from,text
Sirmacai,"  Jul 11 2017, 01:40 PM, updated 2h ago",Getting Started,Group: Junior Member,Posts: 208,Joined: Apr 2016,,only let her sleep 2 hours like thatangkat orang tua(kinda heavy)mop up and downbangun pukul 5 pagimasak 3 times every daytak dengar cakap kena sepak from wifereally got law where cannot do that? can give link for the law?
incubus_skj,"  Jul 11 2017, 01:42 PM",Casual,Group: Junior Member,Posts: 365,Joined: Feb 2009,,"If apa sarahan saya racing, then is legal as long as tak mati"
Koichisan,"  Jul 11 2017, 01:43 PM",New Member,Group: Junior Member,Posts: 8,Joined: Jun 2017,,What is apa sarahan saya?
nuvi,"  Jul 11 2017, 01:45 PM",New Member,Group: Junior Member,Posts: 25,Joined: Aug 2009,,"Even if there's no law for it, can't you not do it out of courtesy to other human being?"
hjffgjng,"  Jul 11 2017, 01:45 PM",Getting Started,Group: Junior Member,Posts: 64,Joined: May 2017,,only this 1 kenaother greenlight
eksk,"  Jul 11 2017, 01:47 PM",Casual,Group: Junior Member,Posts: 381,Joined: Oct 2004,,if you don't even want to do it yourself why subject another person to it? why just coz u pay a pittance? mai i bayar you 20 sen pukul u kau kau.. settle?
CyrusWong,"  Jul 11 2017, 01:50 PM",Kirino Kosaka ?,Group: Senior Member,"Posts: 1,017",Joined: Apr 2013,From: Holy Island,"there's a maximum working hours, it's law."
chinti,"  Jul 11 2017, 01:54 PM",Journey to become a great Cosgrapher,Group: Senior Member,"Posts: 1,150",Joined: Aug 2008,From: My Fantasy World,brb forwarding this screencap to human rights watch and pdrm
monoikhwan,"  Jul 11 2017, 02:10 PM",Getting Started,Group: Junior Member,Posts: 251,Joined: Apr 2013,,"no wonder maid employed keep jumping from 14th floor.mentally and physically abused.tapi when employer ask for 30 mins OT, pandai pulak shout pasl rights.toppest kek"
taitianhin,"  Jul 11 2017, 02:12 PM",Enthusiast,Group: Senior Member,Posts: 742,Joined: Apr 2005,From: too far to see,"I think u posted yesterday abt this too...Human right, abuse ..yeah..pretty much will get sue once the maid go report to police"
loui,"  Jul 11 2017, 02:13 PM",Casual,Group: Junior Member,Posts: 391,Joined: Mar 2005,From: Seri Kembangan / Kota Bharu,"know someone who ask maid to iron every single cloths, include underwear and stockingsstay in bungalow with near to 10 people staying in itevery 6 months maid run awayyet she still has the audacity to cry ""apa sarahan saya"""
kecik_mieow,"  Jul 11 2017, 02:27 PM",New Member,Group: Junior Member,Posts: 5,Joined: Jan 2016,,"Employment act got specified max hours employer can ask employee to work ma.Sepak from wife? Is a criminal offence under penal code. Assault, voluntary causing hurt.. Whats wrong with u, bibik not human..?"
s@ni,"  Jul 11 2017, 02:40 PM",Gambar Di Lesen Kereta Saya,Group: Senior Member,"Posts: 2,682",Joined: Jun 2005,From: Seasaw,posting in a cruel thread. sicko!maids are human as well.
max_cavalera,"  Jul 11 2017, 03:08 PM",the world is so beautiful..,Group: Senior Member,"Posts: 4,500",Joined: Jun 2006,"From: Cyberjaya, Shah Alam, Ipoh",Lel satgi account hang kena banhammer baru tau ??
amirulhakimiazman,"  Jul 11 2017, 03:09 PM",New Member,Group: Junior Member,Posts: 39,Joined: Dec 2016,,zalim.
LamboSama,"  Jul 11 2017, 03:10 PM",Getting Started,Group: Junior Member,Posts: 67,Joined: Aug 2011,,depends on the work contract and job scope.
teehk_tee,"  Jul 11 2017, 03:18 PM",#crushingit ?,Group: Senior Member,"Posts: 5,200",Joined: Apr 2005,From: KUL/HKG/BKK/JKT,wow ini memang muka mintak tumbuk nih.. sei abuser.
M4A1,"  Jul 11 2017, 03:20 PM",[*#^?SONE?^#],Group: Senior Member,"Posts: 1,169",Joined: Aug 2005,,Ts bodo
