username,time,avatar_title,group,post_count,join_date,from,text
unknown warrior,"  Today, 11:42 AM, updated 9m ago",12 Years Member /k/ ELDER,Group: Senior Member,"Posts: 2,788",Joined: Jul 2005,,"https://www.malaysiakini.com/news/387293Malays today view Umno as being more of a threat to them, compared to DAP, claimed former Umno minister Zainuddin Maidin.In his latest blog posting, Zainuddin said DAP, which has been labelled chauvinistic, has now matured politically, is progressive, clean and efficient, and free from ""narrow"" religious sentiments.""More Malays are seeing and understanding that the threat to Malay nationalism no longer comes from DAP, which wants to 'Malaysianise' the country, but from Umno, which wants to 'Chinanise' (menChinakan) Malaysia through economic colonialism...-------------------------For the rest of this story and more, subscribe for only RM150 a year (full news access)"
HongKi,"  Today, 11:44 AM",Getting Started,Group: Junior Member,Posts: 107,Joined: Nov 2013,,Maybe they call it threat no 2?
amxpayne67,"  Today, 11:44 AM",The Coon,Group: Senior Member,Posts: 683,Joined: Mar 2010,From: Puchong Extreme,pfffft. the threat is not DAP
TheReaderReads,"  Today, 11:45 AM",On my way,Group: Senior Member,Posts: 667,Joined: Jan 2011,,y is he against BN now?i remember he use to talk crap
honorable thief,"  Today, 11:45 AM",New Member,Group: Junior Member,Posts: 6,Joined: Apr 2017,,"Sure ah? Many still ""hati tak senang tengok Cina pegang kuasa""."
doppatroll,"  Today, 11:46 AM",Getting Started,Group: Junior Member,Posts: 133,Joined: Sep 2013,,
estcin,"  Today, 11:48 AM",New Member,Group: Junior Member,Posts: 29,Joined: Aug 2011,,Follow his master mamakthir
myasiahobby,"  Today, 11:52 AM",Casual,Group: Junior Member,Posts: 455,Joined: Dec 2009,From: Russia,now the threat come come thong san after sell of all the country asset
mousqy,"  Today, 11:52 AM",Casual,Group: Junior Member,Posts: 486,Joined: Aug 2008,,.
rcracer,"  Today, 11:53 AM",?????,Group: Senior Member,"Posts: 3,437",Joined: Jan 2003,,Since when DAP threatened Malay?
kohho,"  Today, 11:56 AM",New Member,Group: Junior Member,Posts: 9,Joined: Feb 2014,,"As long as bukan orang kite, that's a threat to Malay. I'm surprised they haven't kicked out tong san and indie..... Owai..."
Faidzal,"  Today, 12:13 PM",Getting Started,Group: Junior Member,Posts: 232,Joined: Aug 2008,From: From JB to KL!,"actually tan sri zam maidin here is the worse person to show support to DAP.I mean, we can't forget almost 10 years ago he had that awful interview with Aljazeera on the eve of the 1st Bersih ('Malaysia has erections every 5 years"")...vMFY1-z2Lk0politics make strange bedfellows indeed."
Hundred_Percent,"  Today, 12:35 PM",New Member,Group: Junior Member,Posts: 12,Joined: Jan 2017,,
