username,time,avatar_title,group,post_count,join_date,from,text
HongKi,"  Jul 19 2017, 12:36 PM, updated 1h ago",Getting Started,Group: Junior Member,Posts: 109,Joined: Nov 2013,,"Wanita Amanah calls for airwave ban on DespacitoPETALING JAYA: Angkatan Wanita Amanah Nasional (Awan) wants radio stations in the country to stop playing Despacito, the Spanish hit song because of its supposedly sexually explicit lyrics.Its Arts and Culture chairperson Atriza Umar said that she viewed it seriously as many young children were singing the song without actually understanding its lyrics.She said that local Malay radio stations were also playing the song resulting in it becoming a phenomenon that was hard to stop.She hoped that Despacito and other songs that have sexual and violent lyrics not suited to Eastern culture and Islam to be banned from playing. ”I regret that these problematic songs are not censored by the ministries responsible,” she said in a statement on Wednesday.She also praised the artistes and individuals who took the initiative to alter the lyrics of the song to become more decent although it went against copyright rules.Atriza also hoped that local artistes could work together to provide entertainment that was moral and yet had high commercial value.“We respect the right to be entertained but there should be clearer guidelines so that the entertainment does not spoil people but makes them better,” she said.""Despacito"" is a single by Puerto Rican singer Luis Fonsi and Puerto Rican rapper Daddy Yankee that features Justin Bieber (pic).The song has reached the top position in weekly charts all over the world including in Malaysia. According to the Billboard charts, the song becomes just the 35th single to top the Hot 100 for at least 10 weeks.  http://www.thestar.com.my/news/nation/2017...-from-airwaves/Dont ban this song because of sexual bullshit, ban the song for being annoying. Every dam station"
daddygrandson,"  Jul 19 2017, 12:37 PM",New Member,Group: New Member,Posts: 3,Joined: Jun 2017,,Tor kau lan yu
ray123,"  Jul 19 2017, 12:37 PM",Senior Citizen,Group: Senior Member,"Posts: 2,450",Joined: Jan 2003,,"Ban the Bieber version, encourage the original Latino."
amxpayne67,"  Jul 19 2017, 12:37 PM",The Coon,Group: Senior Member,Posts: 683,Joined: Mar 2010,From: Puchong Extreme,lol. but did not said anything when anaconda become a hits with much obvious explicit mv.
axantra,"  Jul 19 2017, 12:37 PM",Getting Started,Group: Junior Member,Posts: 58,Joined: Oct 2007,,org tak paham pun bahasa dia... people listen to music..not lyrics
axantra,"  Jul 19 2017, 12:38 PM",Getting Started,Group: Junior Member,Posts: 58,Joined: Oct 2007,,agreed
chinti,"  Jul 19 2017, 12:38 PM",Journey to become a great Cosgrapher,Group: Senior Member,"Posts: 1,151",Joined: Aug 2008,From: My Fantasy World,all these people got nothing to do 1?
HongKi,"  Jul 19 2017, 12:38 PM",Getting Started,Group: Junior Member,Posts: 109,Joined: Nov 2013,,Mosquito mosquitoooo
advocado,"  Jul 19 2017, 12:38 PM",Look at all my stars!!,Group: Senior Member,"Posts: 2,081",Joined: Jun 2007,,"sometimes i really wonder how shopping malls & shops are allowed to play songs with explicit lyrics.can clearly hear the world f*ck etc esp those rap songs.i'm sure there are censored versions of them.really spoil the mood, esp those with kids around."
estcin,"  Jul 19 2017, 12:39 PM",New Member,Group: Junior Member,Posts: 29,Joined: Aug 2011,,Amanah really got the PAS DNA
amxpayne67,"  Jul 19 2017, 12:39 PM",The Coon,Group: Senior Member,Posts: 683,Joined: Mar 2010,From: Puchong Extreme,because it is in espanolalso bang bang
mz2020,"  Jul 19 2017, 12:40 PM",Getting Started,Group: Junior Member,Posts: 122,Joined: Apr 2007,,maciem ni negara how to maju.
Slowpokeking,"  Jul 19 2017, 12:40 PM",New Member,Group: New Member,Posts: 0,Joined: Oct 2014,,"Lol, are they slow?Many songs have sexual explicit lyrics la."
LamboSama,"  Jul 19 2017, 12:41 PM",Getting Started,Group: Junior Member,Posts: 67,Joined: Aug 2011,,did they play anaconda on malay stations also?
petang makan maggi,"  Jul 19 2017, 12:41 PM",New Member,Group: Junior Member,Posts: 31,Joined: Mar 2017,,"Kids are byproduct fucking, what's wrong with that?"
citacitata,"  Jul 19 2017, 12:41 PM",Getting Started,Group: Junior Member,Posts: 239,Joined: Jan 2016,From: Joined : 2008,Era
xperiaDROID,"  Jul 19 2017, 12:43 PM",Dahnald Trump,Group: Senior Member,"Posts: 1,547",Joined: Jun 2014,"From: KL, Mahresia","The song is just too fucking overrated, stopped listening to it cuz it got annoying.Thanks hype."
M4A1,"  Jul 19 2017, 12:48 PM",[*#^?SONE?^#],Group: Senior Member,"Posts: 1,170",Joined: Aug 2005,,sikit sikit BANwtfish now is 2017 liao soon 2020....we are not living in 1900
Protoculture,"  Jul 19 2017, 12:50 PM",Enthusiast,Group: Senior Member,Posts: 807,Joined: Oct 2004,From: MARS BASE,So amaciem PH? Tetiba Amanah yang kununnya progresif Islam tu tetibe turn Taliban?
HongKi,"  Jul 19 2017, 12:50 PM",Getting Started,Group: Junior Member,Posts: 109,Joined: Nov 2013,,Malaysia set to be on 2050
