username,time,avatar_title,group,post_count,join_date,from,text
Lumiaaa,"  Jul 11 2017, 12:45 PM, updated 1h ago",Getting Started,Group: Junior Member,Posts: 96,Joined: Sep 2014,From: LYN,
shinoxun,"  Jul 11 2017, 12:46 PM",Getting Started,Group: Junior Member,Posts: 168,Joined: Apr 2008,"From: For me to know, For you to find out.",70 floors?
tankhebeng1,"  Jul 11 2017, 12:53 PM",New Member,Group: New Member,Posts: 2,Joined: Jun 2017,,China build fast like fuark
philipskardon,"  Jul 11 2017, 12:59 PM",New Member,Group: Junior Member,Posts: 36,Joined: Sep 2007,,the built up area is so small.. and yet build so high... gila man.. later topple like domino
teehk_tee,"  Jul 11 2017, 01:05 PM",#crushingit ?,Group: Senior Member,"Posts: 5,200",Joined: Apr 2005,From: KUL/HKG/BKK/JKT,"If u wan definition of fast, the mulia tower is f fast. This one considered selow d"
IsaacVky,"  Jul 11 2017, 01:06 PM",Getting Started,Group: Junior Member,Posts: 118,Joined: Nov 2005,,china power
Strike,"  Jul 11 2017, 01:07 PM",New Member,Group: Junior Member,Posts: 34,Joined: Jan 2003,From: KL,holee fkthats is so high near klcc tower height
Lumiaaa,"  Jul 11 2017, 01:09 PM",Getting Started,Group: Junior Member,Posts: 96,Joined: Sep 2014,From: LYN,guess u never been to new york or hong kong this is normal
myasiahobby,"  Jul 11 2017, 01:10 PM",Casual,Group: Junior Member,Posts: 455,Joined: Dec 2009,From: Russia,are they going to build it higher than klcc?
VoidDance,"  Jul 11 2017, 01:11 PM",New Member,Group: New Member,Posts: 3,Joined: Mar 2017,,"And yet, will be more than 300 meter shorter than up and coming KL118."
Lumiaaa,"  Jul 11 2017, 01:11 PM",Getting Started,Group: Junior Member,Posts: 96,Joined: Sep 2014,From: LYN,so fast macham KL mahu pancut the official name for this tower is now called The Exchange 106 by Mulia Grouphttp://www.mulia.com.my/the-exchange-106/bRl-c5vA-O8
pr0pofol,"  Jul 11 2017, 01:12 PM",Getting Started,Group: Junior Member,Posts: 121,Joined: Oct 2012,,"serious kacau the skylineno planning one, simply approve not considering aesthetic value"
VoidDance,"  Jul 11 2017, 01:14 PM",New Member,Group: New Member,Posts: 3,Joined: Mar 2017,,"I think it will compliment KLCC just nicely. With a few more nearby skyscraper going up, hopefully the skyline will become more balance."
Lumiaaa,"  Jul 11 2017, 01:14 PM",Getting Started,Group: Junior Member,Posts: 96,Joined: Sep 2014,From: LYN,looks fine to meadds density around PTTlike Shanghai
teikboon,"  Jul 11 2017, 01:17 PM",Casual,Group: Junior Member,Posts: 480,Joined: Feb 2010,,"the one near klcc i think quite fast liao but yet the one in trx faster I think. a few months back macam apa pun tarak, now high high liao"
pr0pofol,"  Jul 11 2017, 01:19 PM",Getting Started,Group: Junior Member,Posts: 121,Joined: Oct 2012,,"height should be lower a bit, then just nice"
pr0pofol,"  Jul 11 2017, 01:20 PM",Getting Started,Group: Junior Member,Posts: 121,Joined: Oct 2012,,"lol, the starting bit like sperm ejaculating0:11"
bereev,"  Jul 11 2017, 01:33 PM",Getting Started,Group: Junior Member,Posts: 53,Joined: Dec 2011,,if the contractor hang China flag there will it trigger protection or not
andyng38,"  Jul 11 2017, 01:36 PM",Getting Started,Group: Junior Member,Posts: 280,Joined: Jun 2007,,"Should be no problem because most, if not all ppl will just assume that it's another thing that's been sold to China"
0168257061,"  Jul 11 2017, 01:36 PM",10k Club,Group: Senior Member,"Posts: 14,183",Joined: Jul 2007,From: Tongshan,imagine staying at one of the highest floor room.. lefuuuuuuuu geli gila
weyyt,"  Jul 11 2017, 01:36 PM",Getting Started,Group: Junior Member,Posts: 82,Joined: Feb 2012,,No. Topped out ald.
notoriousfiq,"  Jul 11 2017, 01:38 PM",Casual,Group: Junior Member,Posts: 424,Joined: May 2008,,"This tower soar fast af! One day I was looking down to it, then suddenly become my eye level.. now its almost as high as KLCC. So fast!"
bereev,"  Jul 11 2017, 01:38 PM",Getting Started,Group: Junior Member,Posts: 53,Joined: Dec 2011,,bring gf / girls stay top floor fuuuhhh she must be hnnggggnnnroom must be RM2k per night
0168257061,"  Jul 11 2017, 01:46 PM",10k Club,Group: Senior Member,"Posts: 14,183",Joined: Jul 2007,From: Tongshan,gold digger instagram non stop one hour
rcracer,"  Jul 11 2017, 01:47 PM",?????,Group: Senior Member,"Posts: 3,437",Joined: Jan 2003,,"Wow , rooftop bar will.be frickin insane"
bereev,"  Jul 11 2017, 01:48 PM",Getting Started,Group: Junior Member,Posts: 53,Joined: Dec 2011,,lol can see the room got flash light all busy took selfie
teehk_tee,"  Jul 11 2017, 02:02 PM",#crushingit ?,Group: Senior Member,"Posts: 5,200",Joined: Apr 2005,From: KUL/HKG/BKK/JKT,"is dmn 7 fast.may 2016 they were just only starting foundation work, then late last year started cement pour. estimated completion 2018."
Pink Spider,"  Jul 11 2017, 02:08 PM",??????,Group: Senior Member,"Posts: 16,837",Joined: Jun 2011,From: ????,"The ""4 Season"" that I know 2 level saja skloda bila mau cheong sama2"
alwinnng,"  Jul 11 2017, 02:12 PM","To love at all, is to be vulnerable.",Group: Senior Member,"Posts: 3,875",Joined: Dec 2009,From: ¯\(°_o)/¯,
Lumiaaa,"  Jul 11 2017, 02:23 PM",Getting Started,Group: Junior Member,Posts: 96,Joined: Sep 2014,From: LYN,Built by ChinaBut it's not owned by China thought
Subang Nuclear Reactor,"  Jul 11 2017, 02:26 PM",Getting Started,Group: Junior Member,Posts: 64,Joined: Dec 2015,"From: Melbourne, Darwin, Guangzhou",Made in chinaIt will topple while bringing KLCC down tgtHooray
skloda,"  Jul 11 2017, 02:55 PM","Keep Calm , You Only Live Once",Group: Senior Member,"Posts: 1,751",Joined: Apr 2010,From: Keep Walking ... Tomorrowland,august 3 or 4 u wanna bash together at 19 ?
Pink Spider,"  Jul 11 2017, 03:00 PM",??????,Group: Senior Member,"Posts: 16,837",Joined: Jun 2011,From: ????,"That weekend Saturday I macam mau kerja  One of my subcon also minat 19 but I FFK him many times liao, I ask him come KL instead"
meteoraniac,"  Jul 11 2017, 03:06 PM",Enthusiast,Group: Senior Member,Posts: 898,Joined: Aug 2005,,absolutely haram
netmatrix,"  Jul 11 2017, 03:06 PM",The machine... it sees everything.,Group: Senior Member,"Posts: 4,125",Joined: Jan 2003,From: Zion,"Got many ways they can make a stick building safe. Reducing weight on the higher floors is one. The other is pyramid it. Some add external reinforcements  like that HK HSBC builing.Sometimes while the building may look same width from bottom to up, the build up area on top floor is sometimes smaller. Sometimes missing floors can also indicate structural reinforcements floors. I'm not engineer btw."
