username,time,avatar_title,group,post_count,join_date,from,text
gsem984,"  Jul 11 2017, 10:49 AM, updated 4h ago",Getting Started,Group: Junior Member,Posts: 109,Joined: Oct 2015,,"Singaproe already has this 30 years ago, now then PM is so proud to have this delivered to us. But this is typical malaysia, have now better then have none."
shinoxun,"  Jul 11 2017, 10:50 AM",Getting Started,Group: Junior Member,Posts: 168,Joined: Apr 2008,"From: For me to know, For you to find out.",Ts you are wrong.Jibby's biggest legacy is the 1MDB scandal.
~Sherlock~,"  Jul 11 2017, 10:50 AM",New Member,Group: Junior Member,Posts: 39,Joined: Oct 2010,,yeah its so-so. just hope got ppl use.
adj3,"  Jul 11 2017, 10:53 AM",New Member,Group: New Member,Posts: 0,Joined: Jul 2014,,"true wat, have now better then have nonewho care about singapore have 30 b4 usnajib legacy is rosmah"
Sycamore,"  Jul 11 2017, 10:53 AM",New Member,Group: New Member,Posts: 1,Joined: Jun 2015,,"Actually we already have ""metro system"", which we call it lrt. The new mrt is just a part of this bigger metro system. It's good but not legacy."
AnythingK,"  Jul 11 2017, 10:54 AM",Getting Started,Group: Junior Member,Posts: 161,Joined: Jul 2008,,I <3 PM
iwan_smtk,"  Jul 11 2017, 10:55 AM",XYZ,Group: Senior Member,"Posts: 1,019",Joined: Nov 2007,From: SK,
rcracer,"  Jul 11 2017, 10:55 AM",?????,Group: Senior Member,"Posts: 3,437",Joined: Jan 2003,,"Biggest legacy is 1mdb, GST, Wolf of Wall Street , diamond ring, birkin hand bag , kangkung,"
Mikethebodo,"  Jul 11 2017, 10:57 AM",New Member,Group: New Member,Posts: 0,Joined: Jun 2017,,"had they delivered it 20 years earlier, it would have been much cheaper !!!!!Our ringgit was stronger back then. And then no excuse la, because our PM 20 years ago was part of the cabinet."
tokdukun,"  Jul 11 2017, 10:57 AM",Getting Started,Group: Junior Member,Posts: 259,Joined: Nov 2006,,"I'll give him credit for that.MRT had also helped us to develop tunneling skills. I think I saw some MRT documentary before, there's a lot more tunneling knowledge transferred locally compared to when MMC-Gamuda did SMART tunnel, there's even an academy established.In the future perhaps, tunneling skills may be needed locally, or around ASEAN region, and we can be the hub for others to consult to.Kudos to that. That is some genuine skill development, job creation and value added to our high skilled sector."
ThirdSon,"  Jul 11 2017, 10:58 AM",New Member,Group: Junior Member,Posts: 20,Joined: Jun 2010,From: kota kinabalu,his biggest is that lovely lady next to him
gsem984,"  Jul 11 2017, 10:59 AM",Getting Started,Group: Junior Member,Posts: 109,Joined: Oct 2015,,"The LRT project is a failure. Moving mass population is much better with MRT, instead of LRT. KL should use MRT from the beginning."
netmatrix,"  Jul 11 2017, 11:00 AM",The machine... it sees everything.,Group: Senior Member,"Posts: 4,125",Joined: Jan 2003,From: Zion,"His legacy is all negative. Economically & politically. Scams, lies, deaths, finance, justice, commerce. He covered them all. It would be a 1000 page negative book compared to a 10 page public transport system. Even Grab & Uber availability is a touch and go one subject, where taxi people pulling political strings to be relevant."
koolio,"  Jul 11 2017, 11:01 AM",New Member,Group: New Member,Posts: 2,Joined: Sep 2015,,big blow for loony tun m?
teehk_tee,"  Jul 11 2017, 11:03 AM",#crushingit ?,Group: Senior Member,"Posts: 5,200",Joined: Apr 2005,From: KUL/HKG/BKK/JKT,he's got brownie points for the MRT system.although he sort of offset it with a 15-25% decline in MYR against regional basket.
cloud666,"  Jul 11 2017, 11:03 AM",Getting Started,Group: Junior Member,Posts: 73,Joined: Jun 2010,,its ok despite multiple times of costs? lol thats why still stuck in 3rd world
Lumiaaa,"  Jul 11 2017, 11:04 AM",Getting Started,Group: Junior Member,Posts: 96,Joined: Sep 2014,From: LYN,Bandar Malaysia TRX also
Lumiaaa,"  Jul 11 2017, 11:05 AM",Getting Started,Group: Junior Member,Posts: 96,Joined: Sep 2014,From: LYN,Dr M fault for choosing LRT
jonn zee,"  Jul 11 2017, 11:05 AM",Getting Started,Group: Junior Member,Posts: 225,Joined: Jul 2011,,"Ko gila apa??? Lrt git tunnel, smart tunnel is bigger n better tunnel.... we got the professionals since late 90s lah.....Very same personnel, chnage company only.. previously they are with renong (lrt) then go to smart tunnel then to kvmrt ( gamuda mmc jv) but all same person.... and they share theie expertise to the younger new generTion.engineers"
cj7,"  Jul 11 2017, 11:14 AM",Casual,Group: Junior Member,Posts: 356,Joined: Mar 2008,,MRT is result of election which forced them to improve something. PM should thanks voter.
RO Player,"  Jul 11 2017, 11:18 AM",Now I am a Se7eN Star TigeR!,Group: Senior Member,"Posts: 3,759",Joined: Jan 2003,,u never use ur otak...MRT is like big elephant..waiting to happen...over built...camera everywhere...extra features we dont really need...really overspend...billions gone to songlap...but still jam everywhere..
ma3da,"  Jul 11 2017, 11:20 AM",Getting Started,Group: Junior Member,Posts: 50,Joined: Dec 2014,,to me legacy is something which no body created before...so to me our Metro system is actually TUN legacy
adamhzm90,"  Jul 11 2017, 11:20 AM",On my way,Group: Senior Member,Posts: 535,Joined: Apr 2014,,a lot of camera also a problem to you?typical mentality..if not enough camera then accident happen bising pulakbodo
loui,"  Jul 11 2017, 11:24 AM",Casual,Group: Junior Member,Posts: 391,Joined: Mar 2005,From: Seri Kembangan / Kota Bharu,still better then badawicouldn't really recall what badawi did on his 6 years tenure as PM
unknown warrior,"  Jul 11 2017, 11:30 AM",12 Years Member /k/ ELDER,Group: Senior Member,"Posts: 2,796",Joined: Jul 2005,,30 years late.Irony.
JeremyLord,"  Jul 11 2017, 11:30 AM",Getting Started,Group: Junior Member,Posts: 218,Joined: Nov 2012,From: Planet Earth,Syukur
iGamer,"  Jul 11 2017, 11:31 AM",Casual,Group: Junior Member,Posts: 369,Joined: Feb 2016,From: BanhammerLand,Irrelevant to all living outside KL and Selangor.
axantra,"  Jul 11 2017, 11:34 AM",Getting Started,Group: Junior Member,Posts: 58,Joined: Oct 2007,,apa beza LRT dan MRT??? sampai TS very proud with MRT...
notoriousfiq,"  Jul 11 2017, 11:34 AM",Casual,Group: Junior Member,Posts: 424,Joined: May 2008,,"still jam because network still poor.. go to train station how? go bus station how? if we have superb network, like the train king japan, then we talk traffic lessen lah.."
keny2020j,"  Jul 11 2017, 11:37 AM",Getting Started,Group: Junior Member,Posts: 273,Joined: Jun 2009,,Bijan biggest legacy is C4
sgwc,"  Jul 11 2017, 11:39 AM",New Member,Group: Junior Member,Posts: 18,Joined: Jan 2006,From: inside a palace with ephemeral darkness embrace,"If you list out all the bads and goods dr m have done as plus and minus, all equal to zero. But Najib... Its a negative through and through."
RO Player,"  Jul 11 2017, 11:43 AM",Now I am a Se7eN Star TigeR!,Group: Senior Member,"Posts: 3,759",Joined: Jan 2003,,u go check...1 mrt station..at least 50-70...accident? u really fark up brainwash..
adamhzm90,"  Jul 11 2017, 11:45 AM",On my way,Group: Senior Member,Posts: 535,Joined: Apr 2014,,i think you're the one whose got brainwashed real good by PH..all things related to gomen must be wrong right?
MjMax15,"  Jul 11 2017, 11:45 AM",Uncle Scrooge is back!,Group: Senior Member,"Posts: 1,348",Joined: Nov 2004,From: Heritage Waterfront City,"i think his legacy is TRX, including the tower, which in progressmrt is sidekick from his mega projects"
thesoothsayer,"  Jul 11 2017, 11:48 AM",Casual,Group: Junior Member,Posts: 421,Joined: Dec 2006,,I thought the FLO1M is his biggest legacy? Can't get bigger than that.
zstan,"  Jul 11 2017, 11:50 AM",10k Club,Group: Senior Member,"Posts: 11,976",Joined: Nov 2007,,since when MRT is to solve traffic jam lol.
Kaerna,"  Jul 11 2017, 11:50 AM",Getting Started,Group: Junior Member,Posts: 282,Joined: Feb 2008,,When you pay a restaurant to serve food and when they do actually serve the food the owner rave about how he's the greatest man of all time just because he served the food...That's what I think about MRT...Finally we got what we paid for. Should we praise the PM in this case?
avatargod,"  Jul 11 2017, 11:51 AM",New Member,Group: Junior Member,Posts: 32,Joined: Dec 2008,,
RO Player,"  Jul 11 2017, 11:51 AM",Now I am a Se7eN Star TigeR!,Group: Senior Member,"Posts: 3,759",Joined: Jan 2003,,"pls...this money borrow from developed countries or maybe not...and spend billions on things not feasible...if the ridership is not there...this will become a WHITE ELEPHANT...ppl will still drive to work, jam will be there..i know contractor frens...corruption is there.."
monoikhwan,"  Jul 11 2017, 11:55 AM",Getting Started,Group: Junior Member,Posts: 251,Joined: Apr 2013,,"oklah, ada achievement.dari hari2 create thread pasal imaginary employee, gila loser"
adamhzm90,"  Jul 11 2017, 11:56 AM",On my way,Group: Senior Member,Posts: 535,Joined: Apr 2014,,not fully open yet and you already know it will become white elephant project.wowwww
darosha,"  Jul 11 2017, 11:56 AM",Casual,Group: Junior Member,Posts: 382,Joined: Jan 2003,"From: UM, KL, PJ, 14",what lol
iGamer,"  Jul 11 2017, 11:57 AM",Casual,Group: Junior Member,Posts: 369,Joined: Feb 2016,From: BanhammerLand,Hopefully legacy of first premier behind bars.............
billylks,"  Jul 11 2017, 11:58 AM",Getting Started,Group: Junior Member,Posts: 88,Joined: May 2010,,Najib legacy is those countless memes
Wassupman,"  Jul 11 2017, 12:06 PM",On my way,Group: Senior Member,Posts: 595,Joined: Mar 2013,,"well it has to be the first of everything in the continental only can be considered legacy. if its first of everything in the world, then its not about legacy anymore. he is the god already. like mamaktir, he made the twin tower and it was considered the tallest building in asia back then but also the tallest twin tower in the world, that's why he got the legacy. so mrt is conlanfirm not a legacy to jibby. after he steps down no one will remember who gave the mrt to malaysia because it is so common in asia but what could make him a legend is the 1mdb. although corruption is not new in this continent but that amount would make him one of the first in this world."
IReallyNeed Answers,"  Jul 11 2017, 12:07 PM",Krazeybender,Group: Senior Member,Posts: 887,Joined: Jan 2008,From: Cheras,You're wrongjibby's biggest legacy is rosmah!
RO Player,"  Jul 11 2017, 12:07 PM",Now I am a Se7eN Star TigeR!,Group: Senior Member,"Posts: 3,759",Joined: Jan 2003,,"was there last weekopen 4-6months ago...kota damansara - semantan - traffic..laughable..less than 50 during peak hours..cant sustain, some buses dont offer free service anymore.."
adamhzm90,"  Jul 11 2017, 12:10 PM",On my way,Group: Senior Member,Posts: 535,Joined: Apr 2014,,again..u went for one train ride which is not fully open yet and u can predict white elephant project?
RO Player,"  Jul 11 2017, 12:11 PM",Now I am a Se7eN Star TigeR!,Group: Senior Member,"Posts: 3,759",Joined: Jan 2003,,its ok...wait another 6 months..u take a ride..
periuk_api1209,"  Jul 11 2017, 12:35 PM",New Member,Group: New Member,Posts: 3,Joined: Feb 2012,,wow..your really butthurt eh?
silent_stalker,"  Jul 11 2017, 12:38 PM",Enthusiast,Group: Senior Member,Posts: 820,Joined: Apr 2012,,I do think mrt is good. Just waiting to see its effectiveness. Hope it can reduce traffic in cheras n puchong
Nauts,"  Jul 11 2017, 12:45 PM",Getting Started,Group: Junior Member,Posts: 241,Joined: Jun 2011,,"MRT stations so far from housing, why would i want to use it. Drive better"
RO Player,"  Jul 11 2017, 01:13 PM",Now I am a Se7eN Star TigeR!,Group: Senior Member,"Posts: 3,759",Joined: Jan 2003,,butthurt? i shake head on this farking govt..spending billions of unnecessary tax payers money
ck98,"  Jul 11 2017, 01:27 PM",New Member,Group: New Member,Posts: 2,Joined: May 2016,,is 1MDB scandal....
Jamesmeepok,"  Jul 11 2017, 01:29 PM",New Member,Group: New Member,Posts: 1,Joined: Nov 2015,,Mogolian fried chicken
egeokow,"  Jul 11 2017, 01:30 PM",Casual,Group: Junior Member,Posts: 353,Joined: Feb 2013,,i don fxxking care coz im driving
Nafirii,"  Jul 11 2017, 01:34 PM",New Member,Group: New Member,Posts: 1,Joined: Jul 2013,,The bigger stretch of MRT hasnt even opened yet.. Memang la still jam. U use ur otak or not?
eksk,"  Jul 11 2017, 01:41 PM",Casual,Group: Junior Member,Posts: 381,Joined: Oct 2004,,buka poll kat sini .. DrM atau Najib..
weretiger,"  Jul 11 2017, 01:42 PM",Foyuuuuuuuuuuuh,Group: Senior Member,"Posts: 1,098",Joined: Jan 2003,,Biggest in no particular order:1. Donation as there is no corruption in Najibai diary2. Apa lagi cina mau3. Lu tak suka lu keluar4. Kangkung kala kangkung5. Gst wang tak cukup bagi mama diamond anak harinjadi holiday6. Kasi redarmy internal affairs personal race protection 7. 1mdb mo1 bigmama 1Apa lagi??? Manyak lagi...
