username,time,avatar_title,group,post_count,join_date,from,text
Vryon,"  Jul 11 2017, 10:02 AM, updated 1h ago",<The Geeky Short Boy>,Group: Senior Member,Posts: 899,Joined: Jan 2009,From: Penang Island (Official Penang Kia),I recently booked airasia flight from pg to kl and I received a message regarding the baggage allowance.The total permitted weight for two (2) pieces must not exceed 7kg. <--Does airasia meant each baggage 7kg or total 2 baggage together 7kg. A bit ridiculous both for 7kg @@ even handluggage also 4kg edi
DarkAeon,"  Jul 11 2017, 10:03 AM",Casual,Group: Junior Member,Posts: 443,Joined: Nov 2010,,"both in total not exceed 7kgif u need more, bayar je la- toni fernando"
emino,"  Jul 11 2017, 10:04 AM",http://rieforester.tumblr.com,Group: Senior Member,"Posts: 5,038",Joined: Oct 2004,From: Malaysia... Duh!,Budget airline. What do you expect?
Xnet,"  Jul 11 2017, 10:05 AM",Regular,Group: Senior Member,"Posts: 1,378",Joined: May 2013,,Use ikea plastic bag.Sampah airline no need to use LV handcarry
Vryon,"  Jul 11 2017, 10:05 AM",<The Geeky Short Boy>,Group: Senior Member,Posts: 899,Joined: Jan 2009,From: Penang Island (Official Penang Kia),"Kantoi, company didnt add for me. Last year i travelled both way atleast 8 flights dont have such policy. Oh well D:"
brycen-man,"  Jul 11 2017, 10:06 AM",New Member,Group: Junior Member,Posts: 39,Joined: May 2017,,Do you really need an explanation or you're just so desperate for attention?
DarkAeon,"  Jul 11 2017, 10:07 AM",Casual,Group: Junior Member,Posts: 443,Joined: Nov 2010,,other airlines more liberal like 10kg allowance + laptop separate from the limitchoose carefully
Subang Nuclear Reactor,"  Jul 11 2017, 10:08 AM",Getting Started,Group: Junior Member,Posts: 64,Joined: Dec 2015,"From: Melbourne, Darwin, Guangzhou",An empty luggage that weights 4kg certainly exceed the size limit
hustlerism,"  Jul 11 2017, 10:10 AM",Enthusiast,Group: Senior Member,Posts: 730,Joined: Jun 2011,From: Sin City,Chill bro. TS asking question only. He must be BODO!
emino,"  Jul 11 2017, 10:11 AM",http://rieforester.tumblr.com,Group: Senior Member,"Posts: 5,038",Joined: Oct 2004,From: Malaysia... Duh!,"IIRC the policy for AA was always 7kg but it was never strictly enforced in the past,as long as your suitcase fits the measurement container. But just because they turn a blind eye for you in the past it shouldn't mean you can take advantage on that every time."
mcchin,"  Jul 11 2017, 10:11 AM",???,Group: Senior Member,"Posts: 3,335",Joined: Jul 2005,"From: Sin Lor, B'worth,Pg.",https://forum.lowyat.net/index.php?showtopic=4274569&hl=
zoozooka,"  Jul 11 2017, 10:11 AM",Getting Started,Group: Junior Member,Posts: 221,Joined: Jun 2012,,AirAsia's attempt to suck every cents out of your pocketThen people defending it as because it's a budget airlines
kons,"  Jul 11 2017, 10:12 AM","????
Linux & Networking",Group: Moderator,"Posts: 5,519",Joined: Oct 2004,,"it is not ridiculous.but if you are departing from malaysia, i dont think they check the weight, only size.brunei airport will check the size and weight, many people exceed before, manila airport, no check of whatsoever so far."
idoblu,"  Jul 11 2017, 10:12 AM",stars for sale,Group: Senior Member,"Posts: 8,001",Joined: Feb 2008,,Air Asia not for human fly wan.....
yhcyber,"  Jul 11 2017, 10:18 AM",Getting Started,Group: Junior Member,Posts: 195,Joined: May 2006,From: Seremban/KL,"What do you expect from budget airlines? Ppl sell you cheap ticket already, so must have some house rule to limit the loss (the heavier the flight the more fuel cost) give and take lor, else go for Malindo or MAS, pay extra less complaint"
Vryon,"  Jul 11 2017, 10:23 AM",<The Geeky Short Boy>,Group: Senior Member,Posts: 899,Joined: Jan 2009,From: Penang Island (Official Penang Kia),"Bought extra 15kg check in baggage, oh well gonna find a normal cheap baggage for check in"
teehk_tee,"  Jul 11 2017, 10:26 AM",#crushingit ?,Group: Senior Member,"Posts: 5,200",Joined: Apr 2005,From: KUL/HKG/BKK/JKT,welcome to the NEW AA.total all in whatever shit u carry into cabin 7KG. strict enforcement.
rcracer,"  Jul 11 2017, 10:26 AM",?????,Group: Senior Member,"Posts: 3,437",Joined: Jan 2003,,"Too much abuse, pack 20kg then ask stewerdess carry for them, one passenger ok , all 300 do like that , stewardess ded"
Vincy8925,"  Jul 11 2017, 10:29 AM",Getting Started,Group: Junior Member,Posts: 133,Joined: Jul 2010,,Do they actually weigh your cabin luggage? Will it cut if it just seemed light?
rcracer,"  Jul 11 2017, 10:31 AM",?????,Group: Senior Member,"Posts: 3,437",Joined: Jan 2003,,"In Malaysia they weigh at the security checkpoint before immigration if not mistaken , so if over you can turn back to the check in counters"
