filename,keyword_counts
lowyat_20170511_4287060_It s over  PAS elders approve decision to cut ties.csv,26
lowyat_20170525_4300025_Jangan syok sendiri  kata Dr Mahathir.csv,26
lowyat_20170718_4362968_DAP s Lim Lip Eng  Has The PM  Najib Started.csv,26
lowyat_20170326_4237314_Belum 1 minggu PPBM dah nak pijak DAP  Lulz .csv,26
lowyat_20170512_4288195_DrM bitch slaps PAS saying PAS won 1 seat only.csv,26
lowyat_20170121_4180350_Takiyuddin Hassan  Pas Mungkin Bertanding Di.csv,26
lowyat_20170730_4373863_Mahathir a l Iskandar Kutty.csv,26
lowyat_20170424_4274138_PAS To Pakatan  Stay Out Of Kelantan Or We Will.csv,26
lowyat_20170122_4181209_PM  MCA Never Asked For Deputy Prime Minister Post.csv,25
lowyat_20170623_4337299_pKR also another bullshit party.csv,25
lowyat_20170411_4263411_ Child of PAP s s  t .csv,25
lowyat_20170321_4230039_MCA nak tahu apa logo DAP guna untuk PRU14.csv,25
lowyat_20170220_4201538_ RPK  IT S ABOUT KIT SIANG BETRAYING DAP.csv,24
lowyat_20170717_4362004_Karpal Singh Promise.csv,24
lowyat_20170412_4263992_No more PH for me.csv,24
lowyat_20170413_4264864_Anak Hadi Awang Muhammad Khalil Dicalonkan.csv,23
lowyat_20170605_4312646_PAS  Must we wait for a crash before banning.csv,23
lowyat_20170311_4219912_Why Pakatan now look more dirty than BeeEnd.csv,23
lowyat_20170730_4373561_PRU 14 masa terbaik BN runtuhkan DAP.csv,23
lowyat_20170729_4373387_If you think The Star is pro BN   .csv,23
lowyat_20170701_4344840_How Najib s strategic planning has backfired .csv,23
lowyat_20170502_4280049_PAS urges RoS probe on political parties.csv,23
lowyat_20170727_4371404_MCA  Penang di bawah DAP lebih banyak bantu melayu.csv,23
lowyat_20170728_4372648_Penyokong PH tolak Madey .csv,23
lowyat_20170514_4289296_Noh Omar manusia paling kecewa  dakwa PAS Selangor.csv,23
lowyat_20170428_4277181_Pas cuts ties with pkr finally.csv,23
lowyat_20170410_4261144_Rafizi  Individu terima dana 1MDB adalah.csv,23
lowyat_20170711_4354835_BN s Sarawak have RM27b financial reserves .csv,23
lowyat_20170411_4261658_Pas to hold demo outside Nanyang Siang Pau HQ.csv,23
lowyat_20170131_4186672_Penang mufti denies DAP PKR gov t interferes.csv,22
lowyat_20170214_4197144_Guan Eng  Why BN speaking for DAP  Gang of 4  .csv,22
lowyat_20170213_4195932_Jangan jadi macam golongan liberal.csv,22
lowyat_20170211_4194996_Sertai PH  PPBM beri PAS sebulan.csv,22
lowyat_20170523_4298361_IRB targeting opposition donors  says Dr Mahathir.csv,22
lowyat_20170419_4270197_Wow  BN cybertroopers got free Samsung phone .csv,22
lowyat_20170328_4239937_UMNO menggelabah batal ceramah DAP.csv,22
lowyat_20170329_4241064_Why didn t DAP question RUU355 in the 1980s.csv,22
lowyat_20170722_4367157_Dr Mahathir  I May Take On Najib In Pekan.csv,22
lowyat_20170725_4369408_PM  Demokrasi Tak Menipu  DAP Kuasai Pembangkang.csv,22
lowyat_20170716_4361687_i support NAJIB.csv,22
lowyat_20170106_4168040_Learn about the MCA   past  present and future.csv,22
lowyat_20170628_4341970_DAP not really wanna become government.csv,22
lowyat_20170711_4354858_I confirm BN CyberTrooper has landed in  k.csv,22
lowyat_20170801_4374986_Pas not popular among youth  BN  1.csv,21
lowyat_20170213_4196409_Guan Eng  Exit of Malacca DAP men a gift to BN.csv,21
lowyat_20170228_4209220_If Najib resigns  who would be his replacement .csv,21
lowyat_20170720_4364585_Muhyiddin  No More Seat Negotiations With PAS.csv,21
lowyat_20170323_4231866_PRU14  Adakah PAS masih relevan di Kelantan .csv,21
lowyat_20170418_4269082_PAS   Tun Mahathir.csv,21
lowyat_20170519_4294017_Iskandar admits PAS  syariah agenda did Pakatan in.csv,21
lowyat_20170325_4233478_BN tambah kuat walau Melayu makin marah   Jomo.csv,21
lowyat_20170106_4167833_2 penjuru Najib  bungkus .csv,21
lowyat_20170524_4299613_Survey shows Najib leads as next PM choice at 31pc.csv,21
lowyat_20170602_4307445_Saya sudah insaf  akui Mahathir.csv,21
lowyat_20170114_4174650_PH jilat PAS  Kesian.csv,21
lowyat_20170622_4335337_why party pribumi Malaysia must lead PH.csv,21
lowyat_20170205_4189890_Salleh   lebih ramai Cina akan menyokong BN.csv,21
lowyat_20170523_4298727_DAP vs PKR.csv,21
lowyat_20170720_4365342_BIG BLOW TO NAJIB 58 British MP launches motion on.csv,21
lowyat_20170701_4344858_This is PAS.csv,20
lowyat_20170720_4364739_Tengku Sariffuddin  Dr Mahathir Must Realise.csv,20
lowyat_20170629_4343151_Nurul Izzah  No Point Hating Dr Mahathir .csv,20
lowyat_20170719_4363722_what happened to RPK .csv,20
lowyat_20170222_4204543_My Right to Buy Luxury SUV for wife .csv,20
lowyat_20170610_4321340_BIG BLOW TO NAJIB  50   Malay Tsunami will mean.csv,20
lowyat_20170714_4358689_Pakatan Harapan  Plans For The First 100 Days.csv,20
lowyat_20170511_4286638_PH  2 Week already nearly time out  I sense.csv,20
lowyat_20170314_4223044_Dr Mahathir  Pribumi Wants To Join Pakatan.csv,20
lowyat_20170311_4220373_Liow  DAP is to be blamed for strengthening PAS.csv,20
lowyat_20170305_4213920_Bekas duta  MCA kini macam cawangan kedutaan China.csv,20
lowyat_20170428_4277230_PAS will win big without PH.csv,20
lowyat_20170327_4239406_Mohamad Sabu  Pakatan Harapan To Register.csv,20
lowyat_20170710_4353416_Pakatan hopes to win only 50 seats next election .csv,20
lowyat_20170614_4326833_LGE sound PPBM  Habislah  lose melei vote .csv,20
lowyat_20170427_4276868_PAS  Tidak ada guna jatuhkan kerajaan sekarang.csv,20
lowyat_20170324_4232637_Marzuki  PAS Mempunyai Strategi Tersendiri.csv,19
lowyat_20170727_4371975_If BN win GE14 What u feel .csv,19
lowyat_20170629_4343221_OPS LALANG 2 0 is coming before GE14 .csv,19
lowyat_20170428_4277324_Tuan Ibrahim  PAS Mahu Terajui Pemerintahan.csv,19
lowyat_20170619_4331506_Pakatan Harapan led  cabinet  outlined by Zaid.csv,19
lowyat_20170425_4274901_ Pakatan Harapan consistent on cutting GST to zero.csv,19
lowyat_20170601_4306474_PAS calls for alcohol free MAS flights.csv,19
lowyat_20170517_4292632_What is wrong supporting BN.csv,19
lowyat_20170521_4296172_Dr M signs petition to free Anwar.csv,19
lowyat_20170721_4366129_Jamal Yunos  Bawa Wan Azizah Naik MRT Dan Tunjuk.csv,19
lowyat_20170418_4269387_Guan Eng  Havoc If Penang Returns To BN.csv,19
lowyat_20170131_4186471_Masihkah PAS mahu menentang kleptokrasi .csv,19
lowyat_20170724_4368865_Will Khairy dare to take on former adversary MO1.csv,19
lowyat_20170321_4229538_Shahrizat raises spectre of DAP at Felda event.csv,19
lowyat_20170315_4224041_PAS to cut ties with Bersatu if it joins Harapan.csv,18
lowyat_20170603_4309388_BN Asks Guan Eng  How Did Penang Get Money To.csv,18
lowyat_20170407_4253639_Rafizi  SPRM ada bukti orang rapat dengan PAS.csv,18
lowyat_20170406_4250927_Mohd Anas  500 Rembau PPBM Members Quit En Bloc.csv,18
lowyat_20170320_4228601_MCA  Cabinet never discussed BN s plan.csv,18
lowyat_20170502_4280155_Hadi I had nothing to do with my son s rise in PAS.csv,18
lowyat_20170412_4264116_If PH menang ge14  this will happen.csv,18
lowyat_20170429_4278512_PAS tangani rasuah  1MDB dengan cara tersendiri  .csv,18
lowyat_20170531_4305253_BN concerned about finances China loans.csv,18
lowyat_20170620_4331799_PAS suka Umno kerana perjuangan martabat Islam  .csv,18
lowyat_20170725_4369512_Pakatan Harapan ready to takeover Government.csv,18
lowyat_20170416_4267210_Mohd Amar  Tidak Mustahil PAS Perintah Negara.csv,18
lowyat_20170416_4267200_PPBM may not win a single seat  says analyst.csv,17
lowyat_20170730_4373670_Jangan tukar kerajaan   PM Najib.csv,17
lowyat_20170403_4246419_MACC officers going undercover as police  JPJ SPAD.csv,17
lowyat_20170715_4360978_DrM whacks MO1  Umno has become a party of.csv,17
lowyat_20170328_4239594_If PH taken over federal  .csv,17
lowyat_20170309_4218261_Dr M  NOT up to DAP to decide on PM.csv,17
lowyat_20170508_4284133_How many will believe that I want to be PM   LKS.csv,17
lowyat_20170720_4365360_Kedah Govt expected to fall to opposition PH.csv,17
lowyat_20170221_4202513_Menteri hadir himpunan 355  MIC mahu jumpa PM.csv,17
lowyat_20170516_4291467_Rafizi dakwa Umno  BN terima RM10 2 juta duit SRC.csv,17
lowyat_20170412_4264230_Pakatan Harapan will have Malay PM.csv,17
lowyat_20170215_4197996_LKS  BN  black ops .csv,17
lowyat_20170719_4364534_BN nak DAP ketuai Pakatan Harapan  LMAO LULZ.csv,17
lowyat_20170620_4333368_rafizi wants you to count the vote chance dah mari.csv,17
lowyat_20170321_4230132_Mohd Amar  Pas Tutup Pintu Rundingan Dengan.csv,17
lowyat_20170715_4360911_Shahidan  Difficult For Mahathir To Topple Najib.csv,17
lowyat_20170302_4211539_Tengku Sariffuddin  Nurul Izzah Cuci Tangan.csv,17
lowyat_20170601_4306389_Insiden MH128  MAS wajib henti hidang arak   PAS.csv,16
lowyat_20170218_4199895_PAS jamin himpunan esok capai sasaran.csv,16
lowyat_20170104_4166457_MACC arrests Datuk Mohd Arif Ab Rahman.csv,16
lowyat_20170213_4196129_War Of Words Erupts Between DAP s Teng And Liew.csv,16
lowyat_20170404_4248241_PARTY BEBAS RASUAH NAK KASIK JOIN SAMA PAKATAN HAR.csv,16
lowyat_20170226_4207206_Gerakan Mah  Pakatan DAP PPBM Tidak Mampu.csv,16
lowyat_20170702_4345733_Ahmad Yakob  Cadangan DAP Mencalonkan Husam Musa.csv,16
lowyat_20170622_4336602_Now can MACC please stop sleeping and investigate.csv,16
