filename,keyword_counts
lowyat_20170521_4296062_Wakil  Pas Kalau Berani  Letaklah Jawatan  .csv,13
lowyat_20170314_4222893_Lim Guan Eng Best Logic Ever.csv,13
lowyat_20170213_4196134_Sesetia Melayu dalam DAP pra 2008.csv,13
lowyat_20170712_4356540_Pandan MP Rafizi  Johor Will Lead Shift In.csv,13
lowyat_20170729_4373200_TPM  Sekarang Masa Terbaik Bagi Parti Komponen BN.csv,13
lowyat_20170713_4357842_I think BN will do better in the next GE.csv,13
lowyat_20170411_4261413_Rafizi  Hadi mentioned  1MDB  only once in.csv,13
lowyat_20170715_4360039_DAP man remanded for molesting student.csv,13
lowyat_20170213_4196008_PAS says no to Pribumi.csv,13
lowyat_20170414_4266437_Najib  GE14 can be this year or next .csv,13
lowyat_20170427_4276875_Kelantan MB  PAS will recapture Kedah.csv,13
lowyat_20170526_4301998_Jamal Yunos  DAP Ng Suee Lim Using Phantom Voters.csv,13
lowyat_20170724_4368305_When PH takes over Federal  what will change.csv,13
lowyat_20170125_4183874_PM Najib Seperti Tiru  Taktik  Ayahnya.csv,13
lowyat_20170717_4362201_Mukhriz  TPM Zahid  Jangan Masuk Campur.csv,12
lowyat_20170605_4312918_Not your place to pick Pakatan PM.csv,12
lowyat_20170314_4223052_Inaccurate to say PPBM agrees to Hadi s bill.csv,12
lowyat_20170507_4283783_ Say no to RUU355 for Malaysia s sake .csv,12
lowyat_20170530_4304392_Don t compare me with Najib  insists Mahathir.csv,12
lowyat_20170616_4327944_Gerakan  Penang DAP Should Share State Posts.csv,12
lowyat_20170204_4189577_Charge sex offenders again  says MCA s Heng.csv,12
lowyat_20170326_4236250_Jalaluddin Alias  Jelebu Umno Vows To Wrest.csv,12
lowyat_20170510_4286011_PAS most popular party  survey reveals.csv,12
lowyat_20170510_4286047_If pas win fed What happen .csv,12
lowyat_20170318_4227224_Hadi Awang  Nafi PAS Nak Tadbir 5 Negeri.csv,12
lowyat_20170523_4299067_Grow up  think tank tells PKR.csv,12
lowyat_20170127_4184843_Ku Nan  Umno tidak mengamalkan rasuah .csv,12
lowyat_20170727_4371223_Opposition need Women s Tsunami to win GE14.csv,12
lowyat_20170130_4185886_Chen Man Hin  Pengasas perjuangan Bangsa Malaysia.csv,12
lowyat_20170512_4287481_It took less than a year to realize UMNO has won.csv,12
lowyat_20170611_4321866_KJ   DAP leader harassment Kluang Bazaar.csv,12
lowyat_20170516_4290591_PERKASA lancar  perang  ke atas MIC.csv,12
lowyat_20170516_4292225_3 SENIOR COPS NABBED BY MACC .csv,12
lowyat_20170521_4296082_PKR Menang  Anwar Ibrahim PM ke 7.csv,12
lowyat_20170608_4318258_Pakatan Leaders  Free Mytv Decoders GE14 Bait.csv,12
lowyat_20170710_4353517_Analyst  Umno Also Has Succession Issues.csv,12
lowyat_20170715_4360939_Gerakan Youth Tells Pakatan Harapan  Name Your.csv,12
lowyat_20170703_4346362_Guan Eng worried opposition unprepared for GE14.csv,12
lowyat_20170421_4272227_Najib files his second defamation suit against Pua.csv,12
lowyat_20170629_4343425_Sukarelawan PAS membersihkan jalanraya.csv,12
lowyat_20170730_4373934_Liow Tiong Lai  Peralihan Sokongan Pengundi Dari.csv,12
lowyat_20170714_4358847_Salleh Keruak  Why No DAP Leader In The.csv,12
lowyat_20170728_4372396_Pakatan Harapan diminta tukar logo.csv,12
lowyat_20170408_4255346_Najib incresed tax for 1 5 L poor man car  cukur .csv,12
lowyat_20170424_4274175_Seloroh Warga MCA Taiping ucap perBATALAN agong.csv,12
lowyat_20170708_4351727_Events Leading Up To DAP s CEC Issue.csv,12
lowyat_20170722_4367107_What a joke  MACC so busy hardworking catching.csv,12
lowyat_20170102_4164369_MCA Chong Sin Woon  Chinese Community Reminded.csv,12
lowyat_20170411_4263048_Nurul Izzah  Pas Patutnya Tumbangkan BN  Bukan PKR.csv,12
lowyat_20170329_4240740_Rafizi  Campur tangan menteri sebabkan Petronas.csv,12
lowyat_20170210_4194263_Mahathir is the new De Facto Leader for the.csv,12
lowyat_20170319_4228024_Najib tembak bertubi tubi pada pembangkang.csv,11
lowyat_20170412_4264377_PENANG DATO NABBED BY MACC.csv,11
lowyat_20170425_4274665_Rafizi  LGE no need to go on leave.csv,11
lowyat_20170628_4341785_Tabung  Saman Sarawak Report  PAS cecah RM200 000.csv,11
lowyat_20170718_4362767_Even nurul izzah thanks najib.csv,11
lowyat_20170316_4224818_Mengapa Mahathir kawan dgn Kit Siang.csv,11
lowyat_20170415_4266865_Najib  Cukuplah mod bertahan  tiba masa serang pem.csv,11
lowyat_20170525_4300362_Dr Mahathir Cries Over Proton Geely Deal.csv,11
lowyat_20170419_4270640_Hmm I just felt DAP is useless.csv,11
lowyat_20170709_4352593_MCA Delegates Roared   Zhan  Zhan  Zhan .csv,11
lowyat_20170415_4267006_PAS organ  Anwar s case is evidence of DAP.csv,11
lowyat_20170730_4373878_Anwar Ibrahim  Give Dr Mahathir Space To.csv,11
lowyat_20170601_4306567_Apalagi PH  boleh test power in Kelantan .csv,11
lowyat_20170420_4271308_Noh Omar  Non BN Local Council Projects Scrapped.csv,11
lowyat_20170520_4294714_Riza Aziz statement incriminate Rosmah in 1mdb.csv,11
lowyat_20170411_4261359_Wee a  bare faced liar   says Tony Pua.csv,11
lowyat_20170622_4336180_ Morally reprehensible  to not name GE14 PM.csv,11
lowyat_20170717_4362011_umno in the brinks of collapse.csv,11
lowyat_20170617_4328839_Wan Azizah  Tuntut Sidang Tergempar Parlimen.csv,11
lowyat_20170503_4281010_Rafizi dakwa penasihat PM  penganjur zikir terima.csv,11
lowyat_20170327_4239097_Pua offers Johari 1 hour at DAP dinner.csv,11
lowyat_20170331_4244032_Hadi must resign  says former PAS vice president.csv,11
lowyat_20170331_4244115_Najib says will unveil  special  plan for.csv,11
lowyat_20170502_4280215_Experts  PAS bid to limit PM s post to Muslims.csv,11
lowyat_20170502_4280042_Love song for Umno  PAS  dirge for MCA  MIC .csv,11
lowyat_20170406_4251992_Rafizi jangka Najib kini  habis modal .csv,11
lowyat_20170607_4317683_MO1 BN shaky with imploding Felda scandal as Felda.csv,11
lowyat_20170428_4277781_UMNO supporters come in.csv,11
lowyat_20170324_4232485_DAP  Umno takeover of Hadi s bill will see Sabah.csv,11
lowyat_20170407_4253655_Liow  K jaan pusat tak bentang RUU355 bukti.csv,11
lowyat_20170409_4258104_Lim Kit Siang  It Never Crossed My Mind.csv,11
lowyat_20170518_4293823_Tuan Ibrahim  PAS Sees Red Over  Massive Movement .csv,11
lowyat_20170626_4340338_Ramai sedar  mahu perubahaan di Kelantan   UMNO.csv,11
lowyat_20170505_4282270_Najib claims S gor unstable.csv,11
lowyat_20170520_4294718_BIG BLOW TO NAJIB 47 1mdb funds will be hunted.csv,11
lowyat_20170717_4362007_Tajuddin  Sikap DAP Yang Ingkar Perintah ROS.csv,11
lowyat_20170422_4272423_After MIC  MCA questions Zakir Naik s PR status.csv,11
lowyat_20170309_4218162_PKR MP fined RM3 000.csv,11
lowyat_20170122_4180905_Rafizi promises new Tabung Haji expose next week.csv,11
lowyat_20170115_4175358_Muhyiddin Yassin  Moots  Barisan Rakyat  Name.csv,11
lowyat_20170222_4203741_ruu355 experts supporters and those that cares .csv,11
lowyat_20170129_4185807_Amanah MP accused of  worshipping chicken .csv,11
lowyat_20170203_4188346_Hadi Awang  PAS Belum Putuskan Kerjasama.csv,11
lowyat_20170226_4207240_Rahman Dahlan  Dr Mahathir Caused.csv,11
lowyat_20170110_4171254_Muhyiddin  Pakatan Harapan May Not Recognise.csv,11
lowyat_20170114_4174977_New Sarawak chief may reverse Adenan shariah stand.csv,11
lowyat_20170109_4170301_Anwar Ibrahim Tiba Di Kompleks.csv,11
lowyat_20170407_4254307_What s difference between ruu355 sebat and caning .csv,10
lowyat_20170617_4329092_Muhyiddin seru  isteri MO1  pulangkan barang kemas.csv,10
lowyat_20170416_4267141_Money games DAP got involved .csv,10
lowyat_20170308_4217173_Ldp.csv,10
lowyat_20170413_4265096_Najib s move to make Hishammuddin the next prime m.csv,10
lowyat_20170602_4307214_PEEL AVENUE   MACC    THAT WAY.csv,10
lowyat_20170702_4345604_Liew  PM s aide confirms conspiracy to ban DAP.csv,10
lowyat_20170726_4371076_BN stooges cover Up to protect their master  MO1.csv,10
lowyat_20170605_4313411_Gerakan  Why Guan Eng s Control Of.csv,10
lowyat_20170325_4233475_BERSATU salahkan  puak bercanggah  dalam PAS.csv,10
lowyat_20170324_4232839_PAS veep insists public understanding not needed.csv,10
lowyat_20170309_4218028_PAS discuss seat distribution with Pribumi.csv,10
lowyat_20170120_4180005_Najib   U turn Mahathir  now says DPM post for DAP.csv,10
lowyat_20170525_4300192_DAP sama bodo mcm BN.csv,10
lowyat_20170414_4265854_PAS Mustafa Ali  Pembangkang Belum Sedia.csv,10
lowyat_20170323_4232284_Che Mat  Mukhriz Dicabar Debat Kekayaan miliknya.csv,10
lowyat_20170328_4239586_MP Amanah buat hal lagi dalam dewan .csv,10
lowyat_20170327_4239372_DAP s Anthony Loke denies supporting hudud as.csv,10
lowyat_20170709_4352663_Khaled Nordin  Hasrat DAP Mahu Mengambil alih.csv,10
lowyat_20170724_4368088_Datuk Nik Amar  PAS Has No Reason To Avoid.csv,10
lowyat_20170427_4276296_Keahlian UMNO meningkat mendedak   PM Najib.csv,10
lowyat_20170213_4196146_Ketua Menteri Melaka  BN Sedia Terima.csv,10
lowyat_20170213_4196139_Salleh Keruak   DAP Grassroot Leaders Unhappy With.csv,10
lowyat_20170427_4277115_Delegate  War with DAP nothing do with them being.csv,10
lowyat_20170503_4280790_LGE questions silence on MCA s  racist  comments.csv,10
lowyat_20170331_4244090_Lim Kit Siang melawat Dr  Wan Azizah.csv,10
lowyat_20170331_4243973_MACC raids Kok s office.csv,10
lowyat_20170510_4285881_Jom ramai2 penuhi Bukit Jalil Sempena Hari umno.csv,10
lowyat_20170511_4286581_BN is dynasty Han.csv,10
lowyat_20170203_4188498_Ex law minister Zaid set to join DAP  sources say.csv,10
lowyat_20170511_4286962_Sah  hubungan PAS PKR terbatal serta merta.csv,10
lowyat_20170329_4241852_Rahman Dahlan Roast Lim Kit Siang .csv,10
lowyat_20170517_4292949_Pkr Rep in Kelantan state government can stay.csv,10
lowyat_20170418_4269217_Zakir Naik has Malaysian PR status  DPM confirms.csv,10
lowyat_20170519_4294471_What malaysia past PMs said about mahathir .csv,10
lowyat_20170129_4185802_Hadi  PAS  duty to ensure Muslims in power.csv,10
lowyat_20170108_4169632_Najib and son were spending quality time.csv,10
lowyat_20170128_4185379_Chua  PAS  DAP sama oportunis.csv,10
lowyat_20170523_4298768_Monspace Supporters  No Longer Support DAP Cause.csv,10
lowyat_20170117_4177099_Pakar ekonomi anggap BR1M kejayaan Najib.csv,10
lowyat_20170124_4182892_Lks nak masuk camp najib and stab mamak and anwar .csv,10
lowyat_20170316_4224890_Nurul Izzah  Kita Mahu Kembalikan Kegemilangan.csv,10
lowyat_20170710_4353774_Nik Nazmi jawab KJ.csv,10
lowyat_20170114_4174976_Sarawak DAP files police report.csv,10
lowyat_20170105_4167509_PAS Mustafa Ali  Three Cornered Fights In.csv,10
lowyat_20170715_4360364_Mubarak  Dr Mahathir Anwar Union Show They willing.csv,10
lowyat_20170714_4358698_Barisan Kepimpinan Majlis Presiden Pakatan Harapan.csv,10
lowyat_20170115_4175362_Roslan Sharir  PAS Terbuka Jalin Kerjasama Politik.csv,10
lowyat_20170316_4224769_Rafizi tactics to get people go voting.csv,10
lowyat_20170109_4170479_Another Pakatan Harapan Shadow Cabinet.csv,10
lowyat_20170716_4361282_Umno Hari Raya Open House A Hit In.csv,10
lowyat_20170317_4225595_Khairy Jamaluddin  BN Perlu Menang Bergaya.csv,10
lowyat_20170113_4174055_PBB  Abang Johari Ketua Menteri Sarawak Yang baru.csv,10
lowyat_20170312_4220891_Najib mahu kerjasama BN PAS dikekal  buang politik.csv,10
lowyat_20170306_4214676_Rafizi  BN should give honest answers.csv,9
lowyat_20170128_4185298_Kerajaan pandang ini selius   PM Najib.csv,9
lowyat_20170414_4266307_Zahid Hamidi Yang Cadang Hishammuddin   Najib.csv,9
lowyat_20170801_4374913_MACC  Seventeen Finance Ministry Staff Sign.csv,9
lowyat_20170210_4194289_Mahathir Meets Anwar At Court To.csv,9
lowyat_20170412_4264264_Joseph Entulu  Sarawak BN Has Fighting Chance To.csv,9
lowyat_20170605_4313011_Anwar Ibrahim Tells Mahathir  Not Your Place.csv,9
lowyat_20170325_4233749_ Uncharismatic  Hadi making PAS confused   Dr  M.csv,9
lowyat_20170718_4363217_I was molested by DAP.csv,9
lowyat_20170214_4197051_Mufti slams PAS in tit for tat over hudud.csv,9
lowyat_20170603_4309985_Desperate MO1 manipulates PAS and religion to.csv,9
lowyat_20170216_4198721_Gerakan Mah  DAP Has Grown Arrogant And Thinks.csv,9
lowyat_20170106_4168369_Mengapa pertikai cuti PM Najib .csv,9
lowyat_20170309_4217782_PAS ajak PPBM bincang agihan kerusi  kata Muhyiddi.csv,9
lowyat_20170730_4373565_Johari  DAP led Penang Government Is Enjoying.csv,9
lowyat_20170106_4168593_Nurul Izzah  No GE14 Seats Talk With PAS For Now.csv,9
lowyat_20170420_4271086_PANTUN PILIHAN RAYA  PPR .csv,9
lowyat_20170531_4305500_Rafizi apologises for identifying wrong Florence G.csv,9
lowyat_20170731_4374105_Anwar  Dr M is the right choice.csv,9
lowyat_20170528_4303421_Penang UMNO To Guan Eng  Think Twice Before.csv,9
lowyat_20170707_4351226_Azalina Othman Reminds Mahathir  Anwar Ibrahim Was.csv,9
lowyat_20170220_4201250_UMNO  BN jelajah seluruh negara jelas kerugian.csv,9
lowyat_20170718_4362895_At PH ceramah  call to put the past behind.csv,9
lowyat_20170714_4359067_Mixed Reactions To New Pakatan Harapan Logo.csv,9
lowyat_20170514_4289472_So    Malays have UMNO.csv,9
lowyat_20170312_4220449_ Umno  wedding clash with dap protest.csv,9
lowyat_20170708_4352292_Guan Eng  DAP Tunggu Surat Rasmi ROS Berhubung.csv,9
lowyat_20170629_4343372_Hidup BN  Xie Xie Bn  Namaste BN.csv,9
lowyat_20170505_4282391_Adam Rosly fighting with Rafizi now.csv,9
lowyat_20170121_4180609_MCA admits it asked for deputy prime minister pos.csv,9
lowyat_20170208_4192960_Khairy Jamaluddin  Government considering.csv,9
lowyat_20170801_4375418_Najib  Don t look down at your own country.csv,9
lowyat_20170423_4273424_Najib dishes out millions for Indians.csv,9
lowyat_20170318_4226419_Dr M s message   Show BN the exit if you love MY.csv,9
lowyat_20170622_4336052_Wan Azizah  Now let s have RCI on DoJ allegations.csv,9
lowyat_20170210_4194035_ If DAP is truly anti Islam .csv,9
lowyat_20170428_4277673_If PH wins GE14 and gets 2 3 majority.csv,9
lowyat_20170621_4334347_another dap issue brewing .csv,9
lowyat_20170419_4269718_Rafizi  Siapakah 17 penerima dana berkaitan SRC .csv,9
lowyat_20170402_4245851_Khalid  PAS members fed up with Hadi.csv,9
lowyat_20170620_4332061_Y No BN leaders defend Jib .csv,9
lowyat_20170430_4279372_Liow Tiong Lai  MCA Ready For Snap Polls.csv,9
lowyat_20170413_4264924_Sarawak DAP  Naive To Think Sarawak BN Can Win All.csv,9
lowyat_20170220_4201906_This guy tolak Ruu355    so daring ball big.csv,9
lowyat_20170711_4354795_Noh Omar  Selangor BN s Manifesto For GE14.csv,9
lowyat_20170303_4212389_Ketua Audit Negara ahli Umno Kepong.csv,9
lowyat_20170521_4296168_PM ketujuh bukan ditentukan PKR.csv,9
lowyat_20170420_4271381_RUU355   negative impact on tourism and investment.csv,9
lowyat_20170312_4220665_Gerakan Josephine Lee All Set To Contest In.csv,9
lowyat_20170501_4280009_PAS won t forget Putrajaya s help in RUU355   Hadi.csv,9
lowyat_20170122_4181255_Keprihatinan Rosmah Buat Seluruh.csv,9
lowyat_20170616_4328033_Salleh  Pesta pembohongan  terhadap Rosmah .csv,9
lowyat_20170317_4226052_Umno will stop Nazri Mahathir debate.csv,9
lowyat_20170512_4287768_DAP Dr Ting  Decision To Disqualify Me As.csv,9
lowyat_20170511_4286970_Uitm adalah university umno.csv,8
lowyat_20170418_4269371_Wan Azizah  Congratulate To Turkey President.csv,8
lowyat_20170511_4286756_Opinion  Why Is Gerakan Getting Involved.csv,8
lowyat_20170411_4263872_najib send letter of demand.csv,8
lowyat_20170110_4171257_MACC seizes docs from Malacca CM s office.csv,8
lowyat_20170405_4249099_should i invest in PRS .csv,8
lowyat_20170314_4222930_Jamal Yunos  Mahu Sambut Saman Teresa Kok.csv,8
lowyat_20170113_4174412_Nurul Izzah  Adenan A Great Visionary Leader.csv,8
lowyat_20170509_4285544_MCA Michael Chong almost eaten a fish hook.csv,8
lowyat_20170402_4245501_BN tak bawa RUU 355 petanda Najib Zahid bergolak.csv,8
lowyat_20170720_4364953_LSS   Mahathir KL Train Project All Bankrupt.csv,8
lowyat_20170719_4363786_Najib digelar Bapa Pengangkutan Awam.csv,8
lowyat_20170411_4263845_Muslim DAP members cite Quran  tell Hadi to repent.csv,8
lowyat_20170718_4363605_MO1 shuts down  Ops Gopi  probe by MACC into PDRM.csv,8
lowyat_20170428_4277436_Selena Gomez penyebab PAS PKR berpecah.csv,8
lowyat_20170428_4277790_DAP Sabah  Decision To Bar Tony Pua From.csv,8
lowyat_20170428_4277935_Money games is DAP idea to prepare election fund .csv,8
lowyat_20170726_4370140_Why Umno is afraid of Pakatan Harapan .csv,8
lowyat_20170509_4285492_BIG BLOW TO NAJIB 43  Zahid goes after the gang of.csv,8
lowyat_20170103_4164925_Former DAP Tunku Aziz Challenges Mukhriz  Kit.csv,8
lowyat_20170421_4271751_Zakir Naik dapat PR  saya tunggu 27 tahun.csv,8
lowyat_20170718_4363279_Mukhriz  Great Idea  I Would Support It 100 .csv,8
lowyat_20170331_4244045_RUU355  Situasi  win win  bagi Umno  PAS.csv,8
lowyat_20170725_4369589_PAS Muslimat  Unfair to assume all 16 year old.csv,8
lowyat_20170518_4293281_DAP will join BN after ge14.csv,8
lowyat_20170420_4270876_Tariq denounces Umno culture in PPBM.csv,8
lowyat_20170517_4293145_SPR jangan jadi  macai  BN  kata Abdul Rashid.csv,8
lowyat_20170404_4247409_RUU355 Hadi dijangka dibentang dan tangguh lagi.csv,8
lowyat_20170105_4167511_Syerleena  Penang DAP Denied Offer RM 50.csv,8
lowyat_20170222_4203808_PAS  priorities warped  says Istanbul Network.csv,8
lowyat_20170131_4186563_Gerakan Tan Keng Liang Schools Opposition.csv,8
lowyat_20170412_4264510_TOMORO RAFIZI SAY HE WILL EXPOSE NAME.csv,8
lowyat_20170611_4321560_Najib to Felda rebels  Sorry  no bonus for you.csv,8
lowyat_20170615_4327561_Dr Mahathir says revenge behind sale of Proton.csv,8
lowyat_20170122_4181037_Dr Mahathir   If We Win Putrajaya  We Will Relook.csv,8
lowyat_20170617_4329084_PAS berdoa agar pihak berkuasa berani bongkar isu.csv,8
lowyat_20170619_4330072_NAJIB AMAT memahami isu kos sara hidup rakyat.csv,8
lowyat_20170710_4354155_Rahman Dahlan  DAP Hanya Mahu Raih Kepentingan.csv,8
lowyat_20170121_4180170_Kata kata saya diputar belit  Dr M beritahu LKS.csv,8
lowyat_20170413_4265696_ PAS tak pernah terima sumbangan dari Nasharudin .csv,8
lowyat_20170124_4182548_PAS meets church discuss on better law for nation.csv,8
lowyat_20170710_4353741_Tangkaplah  Mahathir cabar Najib.csv,8
lowyat_20170630_4344009_Dr Sim  SUPP Fights For The People .csv,8
lowyat_20170701_4344538_Mahathir resorting to  fear tactics   says Gerakan.csv,8
lowyat_20170710_4353526_Tun Dr Mahathir Mohamad Turn 92 Today.csv,8
lowyat_20170318_4227312_BIG BLOW TO NAJIB 39 Towards the Endgame for Najib.csv,8
lowyat_20170710_4353324_Wee Ka Siong  MCA Will Continue To Zoom In On.csv,8
lowyat_20170707_4351053_Report  Mahathir backs Anwar for PM.csv,8
lowyat_20170409_4257673_HOW TO APPLY FOR PRS .csv,8
lowyat_20170708_4351754_PH leaders hail Dr Mahathir Anwar.csv,8
lowyat_20170723_4367686_Zahid  BN expects defeat in urban seats.csv,8
lowyat_20170414_4266232_Tay Tian Yan  Pas Bersendirian Pada PRU14.csv,8
lowyat_20170127_4184939_Ku Nan  Umno tak rasuah.csv,8
lowyat_20170525_4300167_Dr Mahathir  PM Candidate Not Important.csv,8
lowyat_20170406_4251168_Pas dakwa DAP tidak suka    .csv,8
lowyat_20170412_4264169_DAP working with US .csv,8
lowyat_20170417_4268397_Najib will resign.csv,8
lowyat_20170218_4200491_Siti Kasim slams PAS  non Muslim supporter over  r.csv,8
lowyat_20170326_4234011_Nik Abduh kesal seminar tok guru anjuran AMANAH.csv,8
lowyat_20170412_4264095_Kelantan MB  Pas Target Of Winning 80 Seats.csv,8
lowyat_20170727_4371696_PAS  Penantian warta wat Siam jadi kenyataan.csv,8
lowyat_20170708_4352405_DPM Tells Dr Mahathir  Watch Your Mouth And Action.csv,8
lowyat_20170314_4223172_Journalists offended by LGE s  Media BN  label.csv,8
lowyat_20170521_4296500_This is how PKR would make Anwar as PM.csv,8
lowyat_20170526_4301696_DAP leader lodges report over death threats.csv,8
lowyat_20170526_4302138_DAP BAHAYA DAP RACIST .csv,8
lowyat_20170406_4252002_Muhyiddin rasa bagai dipermainkan.csv,8
lowyat_20170326_4238422_8 lagi PAS kawasan lulus usul putus hubungan.csv,8
lowyat_20170308_4217421_Anthony Loke To Khairy  Wan Azizah Can Be.csv,8
lowyat_20170305_4214266_Liow Tiong Lai  MCA Stay With Barisan Nasional.csv,8
lowyat_20170603_4309135_Kita bertuah sebab Najib sangat telus.csv,8
lowyat_20170226_4207210_Ong Ka Chuan  Lawatan Raja Arab Saudi Gambarkan.csv,8
lowyat_20170214_4196898_Lupakan DAP  sokong parti Cina lain  kata wakil ra.csv,7
lowyat_20170414_4266341_PM  BN Boleh Menang Pilihan Raya Ke 14.csv,7
lowyat_20170413_4265412_Ketua Umno Cheras  Rakyat Akan Terus Beri.csv,7
lowyat_20170413_4265447_Rafizi to PAS  Live up to principles .csv,7
lowyat_20170419_4270004_DAP Why is ECRL not linking to Port Klang anymore .csv,7
lowyat_20170105_4167514_Ringgit jatuh bukan kerana PM Najib dan 1MDB.csv,7
lowyat_20170413_4265051_Nasrudin Hassan  Unity Govt PAS   UMNO Post GE14  .csv,7
lowyat_20170414_4266115_How come 1995 no one vote DAP .csv,7
lowyat_20170222_4203060_PAS accuses Husam of provocation.csv,7
lowyat_20170413_4265093_Wahai PAS  Hadi bukan nabi.csv,7
lowyat_20170201_4187370_Balu Adenan  Jamilah calon BN bagi PRK Tanjong Dat.csv,7
lowyat_20170426_4275570_Nurul Izzah  wittingly or not  invites law suit.csv,7
lowyat_20170608_4318239_Gerakan  Beri Tempoh 24 Jam Kepada Guan Eng Untuk.csv,7
lowyat_20170123_4181439_Zahid gesa Umno contohi kempen Trump  Modi.csv,7
lowyat_20170723_4367381_If Tun Mahathir become PM.csv,7
lowyat_20170620_4333394_Mah Siew Keong  45 Gerakan GE14 Candidates.csv,7
lowyat_20170621_4334578_Jamal Yunos  DOJ  Mana Bukti PM Najib.csv,7
lowyat_20170621_4334651_GE14 will be later rather than sooner.csv,7
lowyat_20170624_4338536_Hadi a bigger champion of Najib than Umno.csv,7
lowyat_20170630_4343682_PAS  Overseas 1MDB reports prove Hadi s claim.csv,7
lowyat_20170701_4345076_Wan Azizah  Pakatan Harapan Government Will.csv,7
lowyat_20170722_4366552_Hamzah Zainuddin  Sikap PM Najib Tangani.csv,7
lowyat_20170116_4176570_Guan Eng  DAP Setuju BR1M Diteruskan.csv,7
lowyat_20170116_4176363_Baru Bian  PKR May Contest Tanjung Datu.csv,7
lowyat_20170115_4175534_Presiden MIC  Tun Mahathir Sedar Bantuan Rakyat.csv,7
lowyat_20170115_4175469_PM  Mahathir Jaguh Buat Pusingan U.csv,7
lowyat_20170115_4175466_Othman Aziz  Tun Mahathir Setuju BR1M Bukti.csv,7
lowyat_20170115_4175383_Sharkar  Tun Mahathir Akui Keberkesanan Pengurusan.csv,7
lowyat_20170713_4357805_BN goyah  terpaksa tagih simpati pengundi India.csv,7
lowyat_20170716_4361704_BIG BLOW TO NAJIB 54  Zahid to make his move.csv,7
lowyat_20170716_4361817_Umno s GE14 Manual is ready  Hishammuddin.csv,7
lowyat_20170717_4362228_GEMPAR  Jamal mahu jadi ketua Pemuda Umno.csv,7
lowyat_20170109_4170509_Villagers Of Kampung Tok San Penang Leave UMNO.csv,7
lowyat_20170111_4172174_Leaders   Netizen  Slammed Muhyiddin Yassin.csv,7
lowyat_20170718_4362848_Biar Najib  Rosmah  enjoy  dulu naik MRT   Rafizi.csv,7
lowyat_20170718_4363613_BIG BLOW TO NAJIB 56  Mahathir effect threatens.csv,7
lowyat_20170123_4182073_Salleh Keruak  Barisan Nasional  BN  Pilihan.csv,7
lowyat_20170125_4183739_Sell Muruku online MIC president urges.csv,7
lowyat_20170427_4276736_PAS perlu RM200 000 saman Sarawak Report.csv,7
lowyat_20170604_4311639_Liow Tiong Lai  MCA Fokus Beri Manfaat.csv,7
lowyat_20170427_4276876_ Jahanam AMANAH  bergema di Muktamar Ulama PAS.csv,7
lowyat_20170428_4277823_why Tun M lose his sue against Najib.csv,7
lowyat_20170208_4192599_I suddenly felt that I should help vote for BN.csv,7
lowyat_20170503_4280680_No legal action from Nasharudin till now   Rafizi.csv,7
lowyat_20170504_4281699_TPM  Saya Tidak Akan Biar Najib Sendirian.csv,7
lowyat_20170506_4283230_Mohamed Khaled  MCA Tanding Parlimen.csv,7
lowyat_20170508_4284781_BIG BLOW TO NAJIB 42 Snakeman MO1 in deep shxx.csv,7
lowyat_20170509_4284865_NAJIB HAPPY.csv,7
lowyat_20170107_4169362_Kurup  Reject DAP s politics of hatred.csv,7
lowyat_20170511_4286939_Gerakan Youth Andy  Is It Wrong To Help.csv,7
lowyat_20170512_4288117_LOLz UMNO ppl shout BOO after kena tipu.csv,7
lowyat_20170202_4187937_Tony pua mencabar kenaikan harga minyak.csv,7
lowyat_20170131_4186716_LGE  Hadi attacked Penang to cover up PAS  failure.csv,7
lowyat_20170724_4368398_What s so great about Penang  asks MACC chief.csv,7
lowyat_20170522_4297326_UUM Lecturer   Cancel DAP registration as well.csv,7
lowyat_20170523_4298700_AMANAH really no people one      .csv,7
lowyat_20170523_4298814_DAP Lip Eng To Jessy Lai  Prove Monspace Are Legit.csv,7
lowyat_20170410_4261092_Karikatur hina Hadi  PAS berang .csv,7
lowyat_20170724_4368077_Zahid  BN expects to lose urban seats.csv,7
lowyat_20170723_4367799_BIG BLOW TO NAJIB 59  C4 onto MO1 as Scorpene.csv,7
lowyat_20170723_4367701_Minister  BN to prepare manifesto specifically for.csv,7
lowyat_20170126_4184046_Warisan  Sabah no longer BN s  fixed deposit .csv,7
lowyat_20170603_4308521_Anwar wants probe into claims his prosecutor.csv,7
lowyat_20170411_4261452_Non Muslims should be allowed to debate RUU355.csv,7
lowyat_20170204_4189194_I am so not voting for Tony Pua or PH .csv,7
lowyat_20170327_4239367_140K Umno members to celebrate party anniversary.csv,7
lowyat_20170305_4214415_Guan Eng  MCA Lied About Penang.csv,7
lowyat_20170407_4252402_BN parties say knew Hadi s Bill would be deferred.csv,7
lowyat_20170406_4251540_ Mkini Someone close with PAS got 1MDB     Rafizi.csv,7
lowyat_20170322_4231268_Hindraf  MIC a  lame duck  in shariah affair.csv,7
lowyat_20170325_4233759_Dr Mahathir Dan Nazri Aziz Menikmati Cendol Dan.csv,7
lowyat_20170401_4245222_Zahid yakin undian RUU355 bukan dalam sidang.csv,7
lowyat_20170309_4218232_Pakatan Harapan reject nuclear powered Malaysia.csv,7
