name,scale,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
马华,1,11,18,9,13,21,12,17,4,9,13,8,7,7,16,8,3,15,13,11,11,7,11,10,1,5,4,7,16,7,3,5
马华,2,4,4,1,1,4,3,5,4,4,1,3,6,1,3,2,1,6,2,5,5,1,1,0,0,1,3,2,1,2,0,1
巫統,1,0,2,3,2,0,0,0,0,1,3,2,3,0,0,2,1,1,0,0,3,1,0,0,0,1,0,1,0,0,2,4
巫統,2,0,2,2,0,0,0,0,0,1,1,1,1,0,1,0,2,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0
火贱,1,4,10,3,6,8,1,7,9,17,8,5,5,6,13,5,5,12,11,9,8,1,10,5,2,5,2,4,10,7,5,7
火贱,2,4,8,2,3,4,1,3,3,6,3,3,5,2,11,4,6,7,2,3,5,0,3,2,0,2,0,1,3,1,2,0
行动党,1,1,3,3,3,6,3,2,5,2,6,3,7,1,8,5,1,5,4,8,9,3,2,2,1,1,1,3,7,2,3,2
行动党,2,0,1,1,0,1,0,4,1,2,1,3,0,1,2,1,0,4,2,1,3,0,4,0,0,2,1,0,1,0,0,1
誠信黨,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
誠信黨,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
团结党,1,0,0,0,1,1,0,0,2,0,0,0,1,0,0,4,0,0,1,2,0,0,1,1,1,0,1,0,2,0,0,0
团结党,2,0,0,0,0,0,1,1,0,1,0,0,0,1,0,1,1,0,0,0,0,0,2,0,0,1,0,0,0,0,1,0
蓝眼,1,2,2,0,1,0,0,0,0,0,4,0,0,0,0,3,0,0,0,0,0,0,0,1,0,3,1,0,1,0,1,0
蓝眼,2,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0
民聯,1,0,1,3,2,1,0,3,4,3,5,2,2,3,4,6,0,0,1,2,3,1,3,2,0,0,0,0,3,0,6,4
民聯,2,0,2,3,0,3,0,1,0,2,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,1,0,1
民政,1,0,9,5,5,2,3,6,0,0,3,2,2,2,8,4,4,13,5,4,3,1,1,2,0,1,0,1,1,2,0,2
民政,2,1,1,0,0,1,0,1,0,1,0,1,5,0,0,1,1,3,1,0,1,0,0,0,0,1,1,0,0,0,1,0
希盟,1,4,5,3,6,6,0,11,13,9,10,0,8,6,11,19,10,8,8,8,12,4,11,6,4,8,2,5,20,3,19,5
希盟,2,2,4,0,2,8,2,6,3,4,0,1,1,2,4,12,3,2,4,2,1,2,6,0,2,4,1,3,14,3,9,3
